dataset,type,model,rho,r
1C0K_A,Enzyme,LG,0.9995479157688636,0.9998986568755002
1C0K_A,Enzyme,WAG,0.9994584175416256,0.999370522313004
1C0K_A,Enzyme,JTT,0.999436255600262,0.9998191018541787
1C0K_A,Enzyme,gcpREV,0.9993331120309431,0.9996219288663604
1C0K_A,Enzyme,mtMet,0.9992619662258385,0.998415130417102
1C0K_A,Enzyme,HIVb,0.999427907546895,0.9999515715801204
1C0K_A,Enzyme,JC,0.9996348215234993,0.9999476314994723
1C2T_A,Enzyme,LG,0.999142974770827,0.9999499207240794
1C2T_A,Enzyme,WAG,0.9990988363691777,0.9999645059359883
1C2T_A,Enzyme,JTT,0.9990483922242454,0.9999655337693033
1C2T_A,Enzyme,gcpREV,0.9990487861941799,0.999793712965572
1C2T_A,Enzyme,mtMet,0.99883360576452,0.9995659469838661
1C2T_A,Enzyme,HIVb,0.9989112472052106,0.9999116086068085
1C2T_A,Enzyme,JC,0.9989356763345179,0.9998832119954062
1C82_A,Enzyme,LG,0.9990407548904363,0.9996561254514863
1C82_A,Enzyme,WAG,0.9979802514125647,0.9998244065902763
1C82_A,Enzyme,JTT,0.9974173759633684,0.9997703359200799
1C82_A,Enzyme,gcpREV,0.9975497644358419,0.9996937028691318
1C82_A,Enzyme,mtMet,0.9989763561922013,0.9996205579110248
1C82_A,Enzyme,HIVb,0.9987071920834669,0.9998188054010877
1C82_A,Enzyme,JC,0.9994084190708205,0.9999324112556511
1CBG_A,Enzyme,LG,0.998475336201995,0.998670302826291
1CBG_A,Enzyme,WAG,0.9995948747833483,0.9990113713791775
1CBG_A,Enzyme,JTT,0.9989145964359338,0.9992432774923283
1CBG_A,Enzyme,gcpREV,0.9990213182272594,0.9994787996092995
1CBG_A,Enzyme,mtMet,0.9971271988114437,0.9989489863203804
1CBG_A,Enzyme,HIVb,0.9992174992827457,0.9995782731471865
1CBG_A,Enzyme,JC,0.9977407228123245,0.9992274295038391
1CEL_A,Enzyme,LG,0.999334008447069,0.99932417000646
1CEL_A,Enzyme,WAG,0.9994942757332634,0.99975791465963
1CEL_A,Enzyme,JTT,0.9993969019565068,0.9996504077066262
1CEL_A,Enzyme,gcpREV,0.9993723855243181,0.9996524033920006
1CEL_A,Enzyme,mtMet,0.9991181049174066,0.9995377449498899
1CEL_A,Enzyme,HIVb,0.9994126009949198,0.9997480259562298
1CEL_A,Enzyme,JC,0.9997406921094387,0.9999626029303113
1CF2_O,Enzyme,LG,0.9980175678644861,0.9986482977213701
1CF2_O,Enzyme,WAG,0.9998181018900464,0.9998038887910404
1CF2_O,Enzyme,JTT,0.9998246341843332,0.9996530701006875
1CF2_O,Enzyme,gcpREV,0.9997069381538841,0.9992433808299905
1CF2_O,Enzyme,mtMet,0.9997097400588077,0.9996525984817809
1CF2_O,Enzyme,HIVb,0.9998561468350865,0.9992987656432273
1CF2_O,Enzyme,JC,0.9998387367641196,0.9999909596135367
1CTN_A,Enzyme,LG,0.9959456678059141,0.9997511112211687
1CTN_A,Enzyme,WAG,0.9966535901581685,0.9997027254379018
1CTN_A,Enzyme,JTT,0.9966842744809475,0.9995432756751141
1CTN_A,Enzyme,gcpREV,0.9960934863742649,0.9990917002697726
1CTN_A,Enzyme,mtMet,0.9968084565931302,0.9989861544278573
1CTN_A,Enzyme,HIVb,0.9962363340065077,0.9994951885986403
1CTN_A,Enzyme,JC,0.9969641878417616,0.9991044211059189
1CTT_A,Enzyme,LG,0.9978602740964336,0.9998801129572675
1CTT_A,Enzyme,WAG,0.9986044237465377,0.9998900825296563
1CTT_A,Enzyme,JTT,0.9977254925544135,0.9986792133421942
1CTT_A,Enzyme,gcpREV,0.9988890165139648,0.9997965488148899
1CTT_A,Enzyme,mtMet,0.9963995899572425,0.9980234182285698
1CTT_A,Enzyme,HIVb,0.9987902401703679,0.9997313080892599
1CTT_A,Enzyme,JC,0.9964237588872907,0.9991378843491162
1CZ1_A,Enzyme,LG,0.9996303798297196,0.9998628809272944
1CZ1_A,Enzyme,WAG,0.999384860724655,0.9998902376644571
1CZ1_A,Enzyme,JTT,0.9982712060230801,0.9999195090193301
1CZ1_A,Enzyme,gcpREV,0.9995686533061496,0.9998807481392586
1CZ1_A,Enzyme,mtMet,0.9993590039402687,0.9995463802963672
1CZ1_A,Enzyme,HIVb,0.9995822596276795,0.999903516469666
1CZ1_A,Enzyme,JC,0.9996585015433296,0.9997245945767187
1DBT_A,Enzyme,LG,0.9992497440291681,0.9998957640438119
1DBT_A,Enzyme,WAG,0.9999126928500751,0.9998044152662685
1DBT_A,Enzyme,JTT,0.9997633439482342,0.9999219019302936
1DBT_A,Enzyme,gcpREV,0.9998208009252456,0.9998908534500851
1DBT_A,Enzyme,mtMet,0.9997073477634653,0.9997400904033121
1DBT_A,Enzyme,HIVb,0.9998782577988659,0.9999837744953459
1DBT_A,Enzyme,JC,0.999838939547805,0.9999960712731621
1DEK_A,Enzyme,LG,0.997102376811237,0.9990527473880003
1DEK_A,Enzyme,WAG,0.9975083483883505,0.9995334264770921
1DEK_A,Enzyme,JTT,0.9973816122265021,0.9992666424055066
1DEK_A,Enzyme,gcpREV,0.993730742354266,0.9981115934034128
1DEK_A,Enzyme,mtMet,0.9938613304586299,0.9975298786376036
1DEK_A,Enzyme,HIVb,0.9978225665917897,0.9985237864992207
1DEK_A,Enzyme,JC,0.9924331939123276,0.9974928837399252
1DJ0_A,Enzyme,LG,0.999355617763365,0.9999425551776117
1DJ0_A,Enzyme,WAG,0.9994668675214267,0.9999630340613883
1DJ0_A,Enzyme,JTT,0.9993717717263169,0.9997977397539402
1DJ0_A,Enzyme,gcpREV,0.9994863817178791,0.9998081869113459
1DJ0_A,Enzyme,mtMet,0.9992615196449549,0.9993550818452317
1DJ0_A,Enzyme,HIVb,0.999534556033857,0.999917588194202
1DJ0_A,Enzyme,JC,0.9992129431481513,0.9985479269822554
1DPG_A,Enzyme,LG,0.9996687872003589,0.9991211929709234
1DPG_A,Enzyme,WAG,0.9998142841303617,0.9994377088866433
1DPG_A,Enzyme,JTT,0.9996776686607634,0.9992820253137221
1DPG_A,Enzyme,gcpREV,0.9997517159623559,0.9997217922583477
1DPG_A,Enzyme,mtMet,0.997974329491439,0.9978966251789269
1DPG_A,Enzyme,HIVb,0.9997231911365644,0.9998380411562278
1DPG_A,Enzyme,JC,0.999817143937099,0.9997711874525772
1E2A_A,Enzyme,LG,0.9997321072668323,0.9999312362697561
1E2A_A,Enzyme,WAG,0.9998450740820234,0.9999355549024052
1E2A_A,Enzyme,JTT,0.9986024368595176,0.9992811445750344
1E2A_A,Enzyme,gcpREV,0.999690148164047,0.9998808770352534
1E2A_A,Enzyme,mtMet,0.9995215044613078,0.9997089919876111
1E2A_A,Enzyme,HIVb,0.9996546443078441,0.999671253828033
1E2A_A,Enzyme,JC,0.9906293195321954,0.9978828933856193
1E3V_A,Enzyme,LG,0.9996618880555452,0.9999801887318235
1E3V_A,Enzyme,WAG,0.9996061955922011,0.9999474257813544
1E3V_A,Enzyme,JTT,0.999612132451679,0.9999844422509288
1E3V_A,Enzyme,gcpREV,0.9995004649040949,0.9999794941088799
1E3V_A,Enzyme,mtMet,0.9995985620612484,0.9991081129174179
1E3V_A,Enzyme,HIVb,0.999642664299506,0.9998982914666015
1E3V_A,Enzyme,JC,0.9997062524803918,0.9997016323267468
1E6E_A,Enzyme,LG,0.9992818100836155,0.9997492430158447
1E6E_A,Enzyme,WAG,0.9993820917881789,0.9997813195468699
1E6E_A,Enzyme,JTT,0.9983787594831869,0.9989651096581177
1E6E_A,Enzyme,gcpREV,0.9956219487285823,0.9990917322040058
1E6E_A,Enzyme,mtMet,0.9973052198027555,0.9988110574898423
1E6E_A,Enzyme,HIVb,0.999046745647904,0.9998475631846283
1E6E_A,Enzyme,JC,0.9994791423231068,0.9998450859793384
1E7Q_A,Enzyme,LG,0.9996631395481901,0.9998143036141666
1E7Q_A,Enzyme,WAG,0.9997530424149833,0.9998948067082509
1E7Q_A,Enzyme,JTT,0.9996683030492632,0.9999420073639377
1E7Q_A,Enzyme,gcpREV,0.9989498239485183,0.9981870578460555
1E7Q_A,Enzyme,mtMet,0.9995597329018414,0.9988884965285149
1E7Q_A,Enzyme,HIVb,0.9997989509571448,0.9993526586615088
1E7Q_A,Enzyme,JC,0.9982485604110101,0.9997172947439866
1EG7_A,Enzyme,LG,0.9999852353152899,0.9999258678540236
1EG7_A,Enzyme,WAG,0.9999885146619368,0.9999636405470288
1EG7_A,Enzyme,JTT,0.9999920456795498,0.9998903293138999
1EG7_A,Enzyme,gcpREV,0.9999926862958504,0.999992853771624
1EG7_A,Enzyme,mtMet,0.9999813382335203,0.9999419378552837
1EG7_A,Enzyme,HIVb,0.9999891705320813,0.9999729297765716
1EG7_A,Enzyme,JC,0.9999857995802979,0.9999972887870185
1EUU_A,Enzyme,LG,0.9873274767275123,0.9990818233783169
1EUU_A,Enzyme,WAG,0.988221479698062,0.9990504049404191
1EUU_A,Enzyme,JTT,0.9916859436431207,0.9993551602625103
1EUU_A,Enzyme,gcpREV,0.9935305614475497,0.9989522929493797
1EUU_A,Enzyme,mtMet,0.994428843871326,0.9990182313918939
1EUU_A,Enzyme,HIVb,0.9914468644868458,0.9993628543747823
1EUU_A,Enzyme,JC,0.9944823740279845,0.9993847411492318
1EXP_A,Enzyme,LG,0.9998322978061756,0.9998807342777344
1EXP_A,Enzyme,WAG,0.9998769708920553,0.9999042957943631
1EXP_A,Enzyme,JTT,0.9998381258739867,0.9993635324502181
1EXP_A,Enzyme,gcpREV,0.9998427644979458,0.9998805621201793
1EXP_A,Enzyme,mtMet,0.9996671172976735,0.9995413383574518
1EXP_A,Enzyme,HIVb,0.9997237079182432,0.9999588902211262
1EXP_A,Enzyme,JC,0.9998764923186383,0.9999429931743274
1FF3_A,Enzyme,LG,0.9997356064731436,0.9998918781488458
1FF3_A,Enzyme,WAG,0.999696827653409,0.9999507881748497
1FF3_A,Enzyme,JTT,0.9996356716513911,0.9998509731294036
1FF3_A,Enzyme,gcpREV,0.9996753917207719,0.9999048499248406
1FF3_A,Enzyme,mtMet,0.9995169261330534,0.9996437864968073
1FF3_A,Enzyme,HIVb,0.9997559927952878,0.9993776860355212
1FF3_A,Enzyme,JC,0.9997245901859922,0.9999003941528776
1FPS_A,Enzyme,LG,0.9993784930882444,0.9997627037607706
1FPS_A,Enzyme,WAG,0.9988833124502318,0.9997962014406316
1FPS_A,Enzyme,JTT,0.9997987390444263,0.99954111991073
1FPS_A,Enzyme,gcpREV,0.9997540059674143,0.9999628373260296
1FPS_A,Enzyme,mtMet,0.9998267301260182,0.9998821466734413
1FPS_A,Enzyme,HIVb,0.9997816423492377,0.9999375159285604
1FPS_A,Enzyme,JC,0.9997420153544936,0.9997946750796473
1FR8_A,Enzyme,LG,0.9976560585342166,0.9992505451105234
1FR8_A,Enzyme,WAG,0.9974159356264101,0.9992851134620961
1FR8_A,Enzyme,JTT,0.9979539503545961,0.9993641854791108
1FR8_A,Enzyme,gcpREV,0.9981903930909962,0.9993831348553279
1FR8_A,Enzyme,mtMet,0.9979552464976973,0.9995263786353253
1FR8_A,Enzyme,HIVb,0.9980523779732388,0.9989038128484835
1FR8_A,Enzyme,JC,0.9940125657558992,0.9978517049687472
1G6T_A,Enzyme,LG,0.9988944770176476,0.9996628013009093
1G6T_A,Enzyme,WAG,0.9994173489829092,0.9997284610765245
1G6T_A,Enzyme,JTT,0.9995232732717632,0.9997660443563833
1G6T_A,Enzyme,gcpREV,0.9996149187408557,0.999802766902268
1G6T_A,Enzyme,mtMet,0.9990641873895625,0.9996484880004087
1G6T_A,Enzyme,HIVb,0.9992899033363242,0.9997165308984423
1G6T_A,Enzyme,JC,0.9986687064212293,0.9993669210715062
1G72_A,Enzyme,LG,0.9996397783665979,0.9998142350848145
1G72_A,Enzyme,WAG,0.9997021581211646,0.9999218256140749
1G72_A,Enzyme,JTT,0.9996448084633164,0.9997317040266221
1G72_A,Enzyme,gcpREV,0.9993924291704734,0.9991069959309669
1G72_A,Enzyme,mtMet,0.9995105478278388,0.9970062862198396
1G72_A,Enzyme,HIVb,0.9995095960526453,0.9996603624668193
1G72_A,Enzyme,JC,0.9994559620382568,0.9987410382525826
1G79_A,Enzyme,LG,0.9997136984900065,0.9998562472743083
1G79_A,Enzyme,WAG,0.9996630765256757,0.9992042809350364
1G79_A,Enzyme,JTT,0.9996106002774624,0.9998368866768634
1G79_A,Enzyme,gcpREV,0.9996208004582134,0.9999603782594926
1G79_A,Enzyme,mtMet,0.9995168661562029,0.999684234461094
1G79_A,Enzyme,HIVb,0.9996062445699083,0.9999701473479629
1G79_A,Enzyme,JC,0.9996944065771513,0.9999163462770375
1G8F_A,Enzyme,LG,0.9996804089744733,0.9997242230241234
1G8F_A,Enzyme,WAG,0.9994178497363506,0.9995134389553478
1G8F_A,Enzyme,JTT,0.999507317327587,0.9992490165343787
1G8F_A,Enzyme,gcpREV,0.9993162070948306,0.9993204534670139
1G8F_A,Enzyme,mtMet,0.9995978729801654,0.9983937554015461
1G8F_A,Enzyme,HIVb,0.9997071240641983,0.9997628784948756
1G8F_A,Enzyme,JC,0.9991107080817707,0.9999292204666625
1GA8_A,Enzyme,LG,0.9875908894479778,0.9929199790678152
1GA8_A,Enzyme,WAG,0.9986437564812214,0.9965117785781569
1GA8_A,Enzyme,JTT,0.9947715486061475,0.9956545429603504
1GA8_A,Enzyme,gcpREV,0.9976550133269549,0.9973406026410668
1GA8_A,Enzyme,mtMet,0.9859527585163782,0.9916486887547281
1GA8_A,Enzyme,HIVb,0.9990382760653217,0.9993935384617353
1GA8_A,Enzyme,JC,0.9994448306842387,0.9997926249536012
1GCB_A,Enzyme,LG,0.9993570504514732,0.9995462783795389
1GCB_A,Enzyme,WAG,0.9993670956781621,0.9995818708924514
1GCB_A,Enzyme,JTT,0.9961747469771298,0.9985117904043076
1GCB_A,Enzyme,gcpREV,0.9994379946677465,0.9995391883656626
1GCB_A,Enzyme,mtMet,0.9987951496315546,0.999442928690632
1GCB_A,Enzyme,HIVb,0.9994525283427507,0.9998052141870466
1GCB_A,Enzyme,JC,0.9971609599751561,0.9978536295821517
1GDH_A,Enzyme,LG,0.9998922930412292,0.9995253699050253
1GDH_A,Enzyme,WAG,0.9999003366185851,0.9999594517114966
1GDH_A,Enzyme,JTT,0.9996610300180963,0.9995473761612311
1GDH_A,Enzyme,gcpREV,0.9998119533600647,0.9999682714823125
1GDH_A,Enzyme,mtMet,0.9998739691336745,0.9991273897373765
1GDH_A,Enzyme,HIVb,0.9999004795022292,0.9999567422194269
1GDH_A,Enzyme,JC,0.9999138990314479,0.9998213069495887
1GP1_A,Enzyme,LG,0.9991325405874764,0.9996890514333892
1GP1_A,Enzyme,WAG,0.9993727842571447,0.9995277032272241
1GP1_A,Enzyme,JTT,0.9990962057240609,0.9988753405678451
1GP1_A,Enzyme,gcpREV,0.9990479679282123,0.9997587565453133
1GP1_A,Enzyme,mtMet,0.9991138920921059,0.9992667452393341
1GP1_A,Enzyme,HIVb,0.999169536695355,0.9998088717741991
1GP1_A,Enzyme,JC,0.9986207037561472,0.999724927814162
1GPJ_A,Enzyme,LG,0.9965109081339663,0.9992154057172123
1GPJ_A,Enzyme,WAG,0.9958269679143,0.9982120780611197
1GPJ_A,Enzyme,JTT,0.9989406874596085,0.9969642811654562
1GPJ_A,Enzyme,gcpREV,0.999315412029773,0.9993810608328866
1GPJ_A,Enzyme,mtMet,0.9993739506258357,0.9994202390302944
1GPJ_A,Enzyme,HIVb,0.9995689660020389,0.9992964674819669
1GPJ_A,Enzyme,JC,0.9943083632094839,0.997753726752867
1GTP_A,Enzyme,LG,0.9993928511733844,0.9998211983894447
1GTP_A,Enzyme,WAG,0.9994786046259668,0.9997444427005765
1GTP_A,Enzyme,JTT,0.9994324544825889,0.9995964416269586
1GTP_A,Enzyme,gcpREV,0.9990237118060282,0.9996253247755672
1GTP_A,Enzyme,mtMet,0.9993587814116176,0.9994151401283258
1GTP_A,Enzyme,HIVb,0.9995136107522001,0.9998715185329483
1GTP_A,Enzyme,JC,0.9997321164965736,0.99992780985246
1H3I_A,Enzyme,LG,0.9894997857350557,0.997425424519176
1H3I_A,Enzyme,WAG,0.9905842401842977,0.9957912097372024
1H3I_A,Enzyme,JTT,0.9914083520841929,0.9978366561748937
1H3I_A,Enzyme,gcpREV,0.9923791496238131,0.9971780078910407
1H3I_A,Enzyme,mtMet,0.9978497545803023,0.994413331681926
1H3I_A,Enzyme,HIVb,0.9983966609123992,0.9987421265577668
1H3I_A,Enzyme,JC,0.9974941352919798,0.9942819335352606
1HR6_B,Enzyme,LG,0.999447146985505,0.9993514956025912
1HR6_B,Enzyme,WAG,0.9997071149311973,0.9993213170995737
1HR6_B,Enzyme,JTT,0.9993715317814854,0.9995365904903105
1HR6_B,Enzyme,gcpREV,0.9997038760474726,0.9996698341004163
1HR6_B,Enzyme,mtMet,0.9996261129152318,0.9996419304420912
1HR6_B,Enzyme,HIVb,0.9996387383864312,0.9996500240176751
1HR6_B,Enzyme,JC,0.9996566839623187,0.9998870856407656
1HV9_A,Enzyme,LG,0.9999323700907456,0.9999061296042757
1HV9_A,Enzyme,WAG,0.9980376619156635,0.9983020894897993
1HV9_A,Enzyme,JTT,0.999924507535976,0.999711193150949
1HV9_A,Enzyme,gcpREV,0.9998703592581694,0.9994928275346274
1HV9_A,Enzyme,mtMet,0.9998707234331728,0.9998670700394889
1HV9_A,Enzyme,HIVb,0.9998961601870769,0.9998490916651063
1HV9_A,Enzyme,JC,0.9990283602203845,0.9996799602860867
1IVH_A,Enzyme,LG,0.9998303085676412,0.9998015107110106
1IVH_A,Enzyme,WAG,0.9997644640651171,0.9995907884915775
1IVH_A,Enzyme,JTT,0.9997741329726049,0.9994091247579535
1IVH_A,Enzyme,gcpREV,0.9997783882462021,0.9981353844655454
1IVH_A,Enzyme,mtMet,0.9998030118540486,0.9983509880159217
1IVH_A,Enzyme,HIVb,0.9992621711715393,0.9995900929197304
1IVH_A,Enzyme,JC,0.9997772355751032,0.9996366518103234
1J79_A,Enzyme,LG,0.9998438221945561,0.9998595627072882
1J79_A,Enzyme,WAG,0.9998553386982186,0.9998755225222736
1J79_A,Enzyme,JTT,0.9998293586312283,0.9999248115038633
1J79_A,Enzyme,gcpREV,0.9998136787885558,0.999885058090475
1J79_A,Enzyme,mtMet,0.9996749073889227,0.9995810206476002
1J79_A,Enzyme,HIVb,0.9997387395786563,0.9996253342003119
1J79_A,Enzyme,JC,0.9998517316575377,0.9999323799649763
1JOF_A,Enzyme,LG,0.9997894557112033,0.9996851130417361
1JOF_A,Enzyme,WAG,0.9995984608772286,0.9995802612574404
1JOF_A,Enzyme,JTT,0.9970544318761682,0.999060612891132
1JOF_A,Enzyme,gcpREV,0.999130570784616,0.999425942358872
1JOF_A,Enzyme,mtMet,0.9994637410622083,0.9991647666888809
1JOF_A,Enzyme,HIVb,0.9975391121916329,0.9995596036391481
1JOF_A,Enzyme,JC,0.9966832847495953,0.9994562481598113
1K30_A,Enzyme,LG,0.9964894683033928,0.9996869345212094
1K30_A,Enzyme,WAG,0.9965990396583798,0.9993459199704463
1K30_A,Enzyme,JTT,0.995977021227939,0.9994989212265972
1K30_A,Enzyme,gcpREV,0.9962474081002117,0.9994671117497373
1K30_A,Enzyme,mtMet,0.9962136348163352,0.9988543019010264
1K30_A,Enzyme,HIVb,0.9952439368684513,0.9991244899702183
1K30_A,Enzyme,JC,0.9974457985342334,0.9993549960119713
1L1D_A,Enzyme,LG,0.9999001537333121,0.9999189511551925
1L1D_A,Enzyme,WAG,0.9998262926007867,0.9992760195663783
1L1D_A,Enzyme,JTT,0.9998196871989811,0.9992241971236894
1L1D_A,Enzyme,gcpREV,0.9996323925408078,0.9990815558614536
1L1D_A,Enzyme,mtMet,0.9997623488599331,0.9992657789793411
1L1D_A,Enzyme,HIVb,0.9997866976045382,0.9999811730059642
1L1D_A,Enzyme,JC,0.9996236157667451,0.9999548865305795
1L7N_A,Enzyme,LG,0.9984685007241398,0.9991649361771633
1L7N_A,Enzyme,WAG,0.9998025952913171,0.9999688348284637
1L7N_A,Enzyme,JTT,0.9985786536125921,0.9988128311027286
1L7N_A,Enzyme,gcpREV,0.9997429222164431,0.9993052241566396
1L7N_A,Enzyme,mtMet,0.9989739467632873,0.9998074428692842
1L7N_A,Enzyme,HIVb,0.9994413317721589,0.9991944115532845
1L7N_A,Enzyme,JC,0.9983568945114806,0.9976545233897521
