dataset,sequences,sites,model,type,logl,AICc,nparam,treelength
ENSG00000196639,23,507,gcpREV-G,gpcr,-7214.45413648,14555.6036252,63,3.53835285575
ENSG00000171631,21,384,gcpREV-G,gpcr,-3309.399832,6737.68422172,59,1.67182955106
ENSG00000166148,21,433,gcpREV-G,gpcr,-4818.0234506,9754.83069396,59,2.73740671785
ENSG00000138271,24,375,mtMet-G,gpcr,-2977.39115064,6085.74267737,65,2.07779568834
ENSG00000147145,21,370,HIVBm-No,gpcr,-1573.52139776,3263.93035873,58,0.216574277725
ENSG00000147380,20,417,WAG-No,gpcr,-3875.4076311,7863.58599745,56,1.34410543647
ENSG00000204695,23,325,JTT-G,gpcr,-4664.19963445,9455.48738116,63,3.28558401434
ENSG00000135312,21,392,HIVBm-No,gpcr,-2976.79252032,6070.42243205,58,0.787414639664
ENSG00000186513,23,318,gcpREV-No,gpcr,-4157.33537837,8439.74812537,62,2.06806429307
ENSG00000118432,32,476,mtMet-G,gpcr,-2250.12749473,4661.11037854,80,0.353408144176
ENSG00000169860,22,376,mtMet-G,gpcr,-2301.72366744,4726.36865035,61,0.920388176085
ENSG00000101958,20,452,LG-No,gpcr,-1838.71077587,3788.10721514,55,0.165365851867
ENSG00000172935,20,345,LG-No,gpcr,-3722.40454689,7557.74201795,56,1.47139741825
ENSG00000181072,23,468,WAG-G,gpcr,-2778.75243156,5684.25850798,63,0.572970169793
ENSG00000147145,21,370,JTT-G,gpcr,-1570.01358789,3258.94546372,59,0.218793396281
ENSG00000168758,22,843,WAG-G,gpcr,-7299.39944692,14721.2081126,61,1.22849738228
ENSG00000139679,22,347,LG-G,gpcr,-2362.10655541,4845.17970267,60,0.847456977842
ENSG00000078549,20,548,mtMet-No,gpcr,-3998.20459767,8108.99472226,56,0.779774170993
ENSG00000082556,24,383,mtMet-No,gpcr,-2998.06295685,6125.03749472,64,0.834735067315
ENSG00000144891,21,359,HIVBm-No,gpcr,-2309.07725658,4733.03835221,57,0.60636849507
ENSG00000183813,21,376,JTT-No,gpcr,-3542.99278939,7200.82916132,57,1.33249053814
ENSG00000179097,20,368,JTT-G,gpcr,-2426.74500032,4968.39550599,57,0.698776810759
ENSG00000159346,24,377,JTT-No,gpcr,-2381.49307171,4889.88373915,63,0.585199522441
ENSG00000007908,22,704,mtMet-G,gpcr,-12147.6046749,24417.6996907,61,4.91358363065
ENSG00000036828,25,1110,WAG-No,gpcr,-9215.51172095,18563.3429159,66,0.911592045691
ENSG00000197403,20,312,gcpREV-G,gpcr,-2693.71042911,5502.490415,57,1.29213745116
ENSG00000133800,25,381,mtMet-No,gpcr,-6650.70197062,13434.3390226,66,3.82042257417
ENSG00000135409,21,592,HIVBm-G,gpcr,-6127.84696572,12374.2661914,59,1.90833975473
ENSG00000188822,29,419,JTT-No,gpcr,-6472.61652221,13094.1522229,74,3.1651148044
ENSG00000171014,20,318,mtMet-G,gpcr,-3025.4373105,6165.92381174,57,2.79944008844
ENSG00000105976,22,1422,JC69-G,gpcr,-12336.5420899,24795.3264449,61,1.18185263271
ENSG00000198049,21,435,JC69-No,gpcr,-5788.97079551,11694.6956677,58,1.82022794161
ENSG00000129048,25,350,mtMet-G,gpcr,-3711.84803182,7558.74559139,67,1.93647429788
ENSG00000092421,21,1080,mtMet-G,gpcr,-7313.34252089,14744.9980391,59,0.745073097725
ENSG00000101958,20,452,mtMet-G,gpcr,-1803.37846299,3719.46760171,56,0.206401431435
ENSG00000092421,21,1080,HIVBm-No,gpcr,-7495.52753774,15107.3576262,58,0.698474000096
ENSG00000135409,21,592,WAG-G,gpcr,-6277.11417425,12672.8006084,59,1.7981360441
ENSG00000049249,22,283,WAG-G,gpcr,-5293.75839297,10710.7439112,61,4.74498284553
ENSG00000078549,20,548,LG-No,gpcr,-4059.76428034,8232.1140876,56,0.779343162747
ENSG00000168685,23,476,LG-No,gpcr,-9238.29059673,18601.2988784,62,3.95736384258
ENSG00000164128,29,385,JTT-No,gpcr,-3264.30748612,6675.58909541,73,1.04861970172
ENSG00000164251,23,411,HIVBm-G,gpcr,-4828.5808332,9784.0205438,63,2.912586953
ENSG00000172381,22,319,JC69-No,gpcr,-4150.83027038,8422.71271843,60,1.97596525776
ENSG00000149534,21,280,mtMet-No,gpcr,-5400.80570016,10918.7871433,58,5.45593882997
ENSG00000115353,22,409,LG-No,gpcr,-2573.13188272,5267.08283224,60,0.52172261795
ENSG00000171657,26,345,WAG-No,gpcr,-4558.45756796,9253.96939948,68,2.03364868525
ENSG00000134853,20,1112,WAG-No,gpcr,-8506.83862913,17125.9650462,56,0.811080948858
ENSG00000113070,23,216,LG-No,gpcr,-2350.09946285,4825.79158626,62,1.47493684341
ENSG00000181773,22,331,HIVBm-No,gpcr,-2530.37059215,5181.75489432,60,0.982204375954
ENSG00000185231,21,298,WAG-No,gpcr,-2936.11232029,5989.32868963,58,1.30177985601
ENSG00000163485,20,368,JC69-No,gpcr,-2765.99633613,5644.86683357,56,0.862616994085
ENSG00000134489,23,429,HIVBm-No,gpcr,-8752.61732339,17630.0314644,62,5.08909754046
ENSG00000181927,21,321,gcpREV-No,gpcr,-4802.3593994,9721.74304305,58,2.72783461946
ENSG00000158869,28,135,WAG-G,gpcr,-1440.64977207,3030.21481667,73,3.64848583181
ENSG00000139193,22,295,HIVBm-G,gpcr,-4951.21260743,10025.6019417,61,4.75607535393
ENSG00000119737,21,540,WAG-No,gpcr,-4740.39743416,9597.40155212,58,0.96078817298
ENSG00000165370,21,537,gcpREV-G,gpcr,-5897.76355745,11914.1582997,59,2.56093692087
ENSG00000140749,22,255,LG-G,gpcr,-4688.19510595,9499.75358609,61,4.81039120009
ENSG00000163702,21,845,WAG-No,gpcr,-11521.3129849,23159.0129425,58,2.85892139675
ENSG00000102468,30,472,JC69-No,gpcr,-5487.13353993,11127.0981528,76,1.35036740881
ENSG00000116824,27,405,mtMet-G,gpcr,-11357.490607,22857.9223905,71,10.6854530353
ENSG00000147380,20,417,JTT-G,gpcr,-3757.97583872,7630.75003533,57,1.6348410326
ENSG00000137101,24,412,JTT-No,gpcr,-11265.9345506,22660.716093,64,7.6315262249
ENSG00000187918,20,324,LG-G,gpcr,-3154.01204293,6423.05367165,57,1.91247696025
ENSG00000169252,24,422,WAG-No,gpcr,-4332.48034318,8793.78747758,64,1.27245553277
ENSG00000166148,21,433,HIVBm-No,gpcr,-5047.30652423,10211.3706309,58,1.65320703263
ENSG00000182749,24,353,JTT-No,gpcr,-3798.61208586,7726.21382321,64,1.45101368694
ENSG00000171631,21,384,HIVBm-No,gpcr,-3478.36913068,7073.59322702,58,1.36440046527
ENSG00000196639,23,507,HIVBm-No,gpcr,-7551.56030183,15227.7941681,62,2.74397747245
ENSG00000137462,23,788,mtMet-No,gpcr,-13523.6507438,27171.7340217,62,3.04171954307
ENSG00000179546,24,378,HIVBm-G,gpcr,-3789.6055985,7710.1638952,65,2.20418287882
ENSG00000036828,25,1110,JTT-G,gpcr,-8642.00388289,17418.3369327,67,1.39486230291
ENSG00000179546,24,378,LG-G,gpcr,-3871.12650208,7873.20570235,65,2.04465454868
ENSG00000181927,21,321,JTT-No,gpcr,-4745.68830606,9608.40085637,58,2.66426620842
ENSG00000094755,23,447,JTT-G,gpcr,-2996.12892108,6119.04711493,63,0.824440065722
ENSG00000102239,28,402,LG-G,gpcr,-4998.57340353,10144.1130027,73,2.31029350255
ENSG00000160654,28,188,JTT-No,gpcr,-4620.55295883,9387.130961,72,5.40624985999
ENSG00000107779,22,538,mtMet-No,gpcr,-2763.34970911,5645.30064104,59,0.334621411047
ENSG00000182749,24,353,JTT-G,gpcr,-3611.91121075,7354.84312101,65,1.61487497793
ENSG00000164930,22,723,JTT-G,gpcr,-6155.63756551,12433.7525357,61,1.09421152333
ENSG00000168539,20,465,mtMet-No,gpcr,-2107.14812869,4322.93876685,54,0.269052750065
ENSG00000173402,23,899,mtMet-No,gpcr,-6820.65077604,13765.6805178,62,0.775678408629
ENSG00000175898,21,356,JTT-No,gpcr,-3207.69938883,6532.3215227,58,1.07314586959
ENSG00000107779,22,538,HIVBm-G,gpcr,-2668.06216438,5456.74598481,60,0.403636443853
ENSG00000134853,20,1112,WAG-G,gpcr,-8219.04609136,16552.3902623,57,0.930683342983
ENSG00000198851,21,220,LG-No,gpcr,-4289.13153445,8695.76361702,58,4.3960968613
ENSG00000139679,22,347,JC69-No,gpcr,-2627.90541141,5374.74559969,59,0.712477403946
ENSG00000172289,20,321,JC69-G,gpcr,-3828.42191722,7771.88313026,57,2.31343614775
ENSG00000138271,24,375,JC69-G,gpcr,-3336.70048584,6804.36134777,65,1.63424572325
ENSG00000180245,21,388,mtMet-No,gpcr,-4895.74172345,9908.32953418,58,2.15264099454
ENSG00000116329,20,396,HIVBm-G,gpcr,-2638.62993327,5392.10087392,57,0.99113505227
ENSG00000177535,23,322,JC69-G,gpcr,-4345.15210077,8817.40253986,63,3.53659522822
ENSG00000170820,22,697,JC69-No,gpcr,-7868.10394202,15856.6871612,60,1.35428089841
ENSG00000180269,23,354,JTT-No,gpcr,-1862.0114595,3842.89893978,59,0.384275222488
ENSG00000082556,24,383,WAG-No,gpcr,-2989.28628737,6107.48415577,64,0.826094550353
ENSG00000144648,22,407,mtMet-No,gpcr,-5882.06859503,11884.9603094,60,2.84930935788
ENSG00000102076,20,417,LG-G,gpcr,-3780.05635777,7674.91107342,57,1.67854605327
ENSG00000159164,20,744,gcpREV-No,gpcr,-3104.48207481,6321.39483167,56,0.174303732559
ENSG00000106128,20,503,JTT-No,gpcr,-5877.72263099,11868.0834705,56,2.00827904378
ENSG00000169208,22,316,HIVBm-No,gpcr,-3371.15422082,6863.37069675,60,1.66471269391
ENSG00000172215,26,404,mtMet-G,gpcr,-6556.58219575,13252.0902109,69,6.25170643406
ENSG00000147434,23,501,HIVBm-G,gpcr,-5255.29129924,10637.2863248,63,1.84264427194
ENSG00000111291,28,357,JC69-G,gpcr,-6218.30824229,12583.7053779,73,3.48209433097
ENSG00000149534,21,280,gcpREV-No,gpcr,-5376.78508876,10870.7459205,58,5.34734718599
ENSG00000075073,25,415,LG-G,gpcr,-4694.92443342,9524.73292622,67,2.50484108528
ENSG00000147145,21,370,LG-G,gpcr,-1587.01148368,3292.94125529,59,0.224047929258
ENSG00000122420,29,371,JC69-G,gpcr,-4439.75073635,9030.56858867,75,2.07280074076
ENSG00000164128,29,385,HIVBm-No,gpcr,-3323.72019903,6794.41452122,73,1.10756394865
ENSG00000135960,20,487,JTT-G,gpcr,-3887.85906831,7890.40105337,57,1.3924143566
ENSG00000159346,24,377,HIVBm-G,gpcr,-2357.96986102,4844.86591595,64,0.763900623362
ENSG00000166884,24,315,JC69-No,gpcr,-4150.55794852,8430.22597042,64,1.68235113277
ENSG00000089692,21,565,mtMet-G,gpcr,-10492.8488936,21104.2975332,59,5.61846022968
ENSG00000198785,20,1147,LG-G,gpcr,-8112.28251629,16338.8539933,57,0.859965578838
ENSG00000137462,23,788,LG-G,gpcr,-13089.5666883,26305.5798882,63,3.53636963241
ENSG00000135312,21,392,LG-G,gpcr,-2832.91316959,5784.69271217,59,1.09849810352
ENSG00000134489,23,429,mtMet-G,gpcr,-8391.8244558,16910.4715169,63,7.43067797665
ENSG00000169618,24,395,JTT-No,gpcr,-3699.11283387,7527.10936397,64,1.17928263255
ENSG00000204475,20,220,gcpREV-G,gpcr,-3435.72526486,6986.97333028,57,6.11958902466
ENSG00000154309,20,1560,HIVBm-G,gpcr,-15212.3686759,30538.9496696,57,1.8497052826
ENSG00000158869,28,135,LG-No,gpcr,-1486.68549415,3120.20670451,72,2.67990115576
ENSG00000121966,20,362,HIVBm-No,gpcr,-2420.94530302,4954.77937119,56,0.641410495819
ENSG00000162594,20,698,HIVBm-No,gpcr,-10910.8601757,21934.1795328,56,3.5342237341
ENSG00000167822,21,316,HIVBm-G,gpcr,-3808.8457243,7736.76809094,59,2.90588093595
ENSG00000188822,29,419,HIVBm-No,gpcr,-6503.62922874,13156.177636,74,3.3587718143
ENSG00000148604,22,308,JTT-G,gpcr,-3421.59617857,6966.31895828,61,1.92376467187
ENSG00000171860,21,503,gcpREV-G,gpcr,-8470.67462368,17060.0233405,59,3.89716502884
ENSG00000134853,20,1112,LG-No,gpcr,-8550.85395829,17213.9957045,56,0.821229349116
ENSG00000169836,21,484,mtMet-No,gpcr,-4659.34357082,9435.36443012,58,1.24807336574
ENSG00000198851,21,220,WAG-G,gpcr,-4028.07066735,8175.69396628,59,5.15206804378
ENSG00000171517,26,372,JTT-G,gpcr,-2928.0957125,5995.19746541,69,1.01901731914
ENSG00000185231,21,298,LG-G,gpcr,-2839.56738457,5798.27707312,59,1.56813846218
ENSG00000186943,22,320,JTT-G,gpcr,-3606.36813275,7335.82024372,61,1.97523994237
ENSG00000110848,26,211,HIVBm-No,gpcr,-4623.79195102,9385.31622621,68,4.76931096233
ENSG00000134853,20,1112,gcpREV-No,gpcr,-8501.24060616,17114.7690003,56,0.827721552817
ENSG00000139572,23,399,gcpREV-G,gpcr,-4838.09900098,9803.08289168,63,2.5880203956
ENSG00000135914,22,484,WAG-No,gpcr,-5497.80052674,11116.2924675,60,1.52995478832
ENSG00000174804,22,542,HIVBm-No,gpcr,-2750.61030305,5621.83765069,60,0.325100105715
ENSG00000144476,29,364,gcpREV-G,gpcr,-3482.2374607,7115.56270765,75,1.68944731518
ENSG00000176299,24,313,JC69-No,gpcr,-2738.2111259,5605.53948022,64,0.865940824566
ENSG00000135577,24,402,JC69-No,gpcr,-4723.69299702,9576.25419815,64,1.46167153332
ENSG00000135218,20,476,JC69-No,gpcr,-6099.95499158,12312.5846107,56,1.71086262587
ENSG00000187918,20,324,JTT-No,gpcr,-3206.49104035,6525.97600877,56,1.4215618873
ENSG00000120907,25,490,gcpREV-G,gpcr,-3935.32227649,8005.39254181,67,1.45388458161
ENSG00000147155,21,242,WAG-No,gpcr,-3542.00685691,7201.37624617,58,2.69659989983
ENSG00000163485,20,368,mtMet-No,gpcr,-2675.21849789,5463.31115708,56,0.867552107133
ENSG00000198785,20,1147,JTT-No,gpcr,-8133.14171682,16378.562418,56,0.708473341479
ENSG00000172935,20,345,JC69-G,gpcr,-4027.09045057,8169.14728524,57,1.80978716387
ENSG00000166160,20,417,gcpREV-No,gpcr,-3921.61088043,7955.9924961,56,1.39694692304
ENSG00000166603,20,337,gcpREV-G,gpcr,-2029.1981941,4173.3859123,57,0.636468214646
ENSG00000135914,22,484,LG-G,gpcr,-5360.67878435,10844.0720973,61,1.74773188647
ENSG00000168758,22,843,LG-No,gpcr,-7495.78733039,15111.9706575,60,1.06672263751
ENSG00000176893,20,314,LG-G,gpcr,-2885.04899661,5885.16067402,57,1.46507915293
ENSG00000197403,20,312,HIVBm-G,gpcr,-2699.69261186,5514.45478049,57,1.27685482863
ENSG00000124731,20,253,JC69-No,gpcr,-5788.39434514,11690.0647247,56,5.03836927653
ENSG00000174804,22,542,JTT-No,gpcr,-2736.49265389,5593.60235236,60,0.320439893146
ENSG00000120217,28,307,WAG-No,gpcr,-6506.31021737,13157.8538033,72,4.20494066033
ENSG00000101958,20,452,WAG-G,gpcr,-1810.02927025,3732.76921623,56,0.190315684375
ENSG00000172935,20,345,WAG-G,gpcr,-3602.85708784,7320.68055977,57,1.57654713712
ENSG00000135312,21,392,JC69-G,gpcr,-3028.00278948,6174.87195195,59,0.988407248202
ENSG00000150637,23,355,mtMet-G,gpcr,-6872.43872352,13871.8728797,63,5.33272990494
ENSG00000175898,21,356,HIVBm-G,gpcr,-3047.89516926,6214.74503107,59,1.5748224917
ENSG00000181072,23,468,LG-No,gpcr,-2880.19927524,5885.12857571,62,0.508023050858
ENSG00000153563,20,306,JC69-No,gpcr,-5900.18223094,11913.417406,56,4.99137605518
ENSG00000108947,20,346,JTT-No,gpcr,-2193.70965465,4500.34951475,56,0.607994867497
ENSG00000134061,21,663,gcpREV-G,gpcr,-10162.2394978,20442.9897075,59,3.2126657937
ENSG00000172289,20,321,LG-G,gpcr,-3469.58181391,7054.20292364,57,2.30042445108
ENSG00000173578,21,354,WAG-No,gpcr,-4950.35749878,10017.6429976,58,2.42626482247
ENSG00000180988,21,328,HIVBm-G,gpcr,-3295.43549863,6709.90790411,59,2.51828738599
ENSG00000168229,23,366,HIVBm-No,gpcr,-5513.34514727,11151.6253035,62,2.59042461359
ENSG00000049249,22,283,HIVBm-G,gpcr,-5222.40941024,10568.0459457,61,5.24148109905
ENSG00000113070,23,216,WAG-G,gpcr,-2276.02346481,4679.69130157,63,1.6682684662
ENSG00000115353,22,409,gcpREV-G,gpcr,-2478.08679938,5079.0200625,61,0.645607299955
ENSG00000129048,25,350,gcpREV-G,gpcr,-3705.72762217,7546.50477209,67,1.81053483056
ENSG00000007312,20,296,JC69-G,gpcr,-4238.31225959,8591.75246185,57,3.38455917425
ENSG00000182854,22,343,HIVBm-No,gpcr,-4647.26874894,9415.51545378,60,2.48691208631
ENSG00000078549,20,548,WAG-G,gpcr,-3933.25865129,7981.12379681,57,0.860894428613
ENSG00000168685,23,476,WAG-G,gpcr,-8959.32423237,18045.3893688,63,4.37701820003
ENSG00000165621,22,344,mtMet-G,gpcr,-3605.23982627,7333.48737969,61,2.03338657529
ENSG00000182854,22,343,gcpREV-No,gpcr,-4645.63462061,9412.24719713,60,2.4464817337
ENSG00000115353,22,409,WAG-G,gpcr,-2496.07755664,5115.00157703,61,0.587672277447
ENSG00000176893,20,314,JTT-No,gpcr,-2906.36289701,5925.75166579,56,1.14771439774
ENSG00000176893,20,314,JTT-G,gpcr,-2819.78293879,5754.6285584,57,1.36292662473
ENSG00000173578,21,354,HIVBm-G,gpcr,-4689.65757875,9498.27528768,59,3.39439787378
ENSG00000164342,20,906,gcpREV-G,gpcr,-11048.568324,22211.5027203,57,2.3884954424
ENSG00000124731,20,253,HIVBm-No,gpcr,-5410.68029615,10934.6366267,56,5.68162258975
ENSG00000135409,21,592,LG-No,gpcr,-6489.66786819,13095.8888763,58,1.58370911694
ENSG00000150048,24,285,mtMet-No,gpcr,-4632.58162051,9394.3912853,64,2.83629197756
ENSG00000049249,22,283,LG-No,gpcr,-5493.94451906,11109.076386,60,4.45679345264
ENSG00000109991,20,400,JTT-No,gpcr,-2598.69821874,5310.20016403,56,0.556846776272
ENSG00000153563,20,306,gcpREV-No,gpcr,-5606.39258791,11325.8381199,56,5.47084668703
ENSG00000258227,24,222,LG-G,gpcr,-4108.60495048,8348.84045969,65,5.81963884124
ENSG00000155249,22,324,mtMet-G,gpcr,-2797.96735596,5719.00519026,61,1.43661470048
ENSG00000197309,23,317,WAG-G,gpcr,-4519.67797322,9166.47176213,63,2.8818490334
ENSG00000171860,21,503,HIVBm-No,gpcr,-8661.17247963,17438.9965206,58,3.39159399222
ENSG00000119737,21,540,mtMet-G,gpcr,-4523.56723873,9165.76213704,59,1.23361405746
ENSG00000173578,21,354,JC69-No,gpcr,-5447.81939304,11012.5667861,58,2.54850928226
ENSG00000147155,21,242,LG-No,gpcr,-3536.68863124,7190.73979483,58,2.7807055281
ENSG00000137070,20,470,WAG-No,gpcr,-5941.85311321,11996.3895187,56,2.35858841573
ENSG00000122420,29,371,mtMet-G,gpcr,-3916.62823777,7984.32359152,75,2.22483418007
ENSG00000181803,20,332,mtMet-G,gpcr,-3349.54232958,6814.08921704,57,1.96987163239
ENSG00000135914,22,484,gcpREV-No,gpcr,-5436.55927648,10993.809967,60,1.55743857376
ENSG00000139572,23,399,HIVBm-No,gpcr,-5016.43894199,10157.7350268,62,2.05545800221
ENSG00000049249,22,283,JC69-No,gpcr,-5940.42640006,12002.0401481,60,4.27995199203
ENSG00000113070,23,216,mtMet-No,gpcr,-2341.01957892,4807.6318184,62,1.48853485279
ENSG00000180988,21,328,JC69-No,gpcr,-3822.64931174,7762.30081999,58,1.49911301869
ENSG00000139874,21,392,LG-G,gpcr,-1772.51673848,3663.89984993,59,0.306640552498
ENSG00000110848,26,211,gcpREV-G,gpcr,-4578.59208866,9296.96778145,69,5.11458043273
ENSG00000180269,23,354,LG-G,gpcr,-1833.58431255,3788.07445358,60,0.43855114724
ENSG00000204305,21,477,WAG-No,gpcr,-5724.80852977,11566.3043461,58,2.14078750469
ENSG00000164930,22,723,WAG-No,gpcr,-6544.09810106,13208.6581775,60,1.03446982178
ENSG00000144476,29,364,HIVBm-No,gpcr,-3684.54134361,7518.14174647,74,1.3047309739
ENSG00000173612,21,943,JTT-No,gpcr,-10513.7491569,21143.8449507,58,1.63292223459
ENSG00000133019,25,594,JC69-G,gpcr,-5360.23187185,10855.0801691,67,1.22022277088
ENSG00000174804,22,542,gcpREV-G,gpcr,-2695.35451209,5513.34669068,61,0.443043028791
ENSG00000153563,20,306,HIVBm-G,gpcr,-5429.3898053,10973.8703397,57,6.80888929291
ENSG00000049249,22,283,JC69-G,gpcr,-5780.48232863,11684.1917825,61,4.90300847876
ENSG00000175898,21,356,JC69-No,gpcr,-3588.40367093,7293.73008691,58,1.16096818266
