dataset,type,model,rho
1B93_A,Enzyme,WAG,0.9993665895454825
1B93_A,Enzyme,JTT,0.9992303024599818
1B93_A,Enzyme,mtVer,0.9980283801630901
1B93_A,Enzyme,gcpREV,0.9989223352223141
1B93_A,Enzyme,JC69,0.9989654970387061
1BF2_A,Enzyme,LG,0.9981925561242592
1BF2_A,Enzyme,WAG,0.9991455412867652
1BF2_A,Enzyme,JTT,0.9982414696033465
1BF2_A,Enzyme,mtVer,0.9967942732446629
1BF2_A,Enzyme,gcpREV,0.9984058698932686
1BF2_A,Enzyme,JC69,0.9986806349000742
1BJO_A,Enzyme,LG,0.9993723442225783
1BJO_A,Enzyme,WAG,0.9990579969281902
1BJO_A,Enzyme,JTT,0.9963228601312585
1BJO_A,Enzyme,mtVer,0.9988043955941796
1BJO_A,Enzyme,gcpREV,0.9992973006389789
1BJO_A,Enzyme,JC69,0.9993760681013661
1BQC_A,Enzyme,LG,0.9996742819302192
1BQC_A,Enzyme,WAG,0.9997471056438673
1BQC_A,Enzyme,JTT,0.9996029959430062
1BQC_A,Enzyme,mtVer,0.99939121673846
1BQC_A,Enzyme,gcpREV,0.9997390220005038
1BQC_A,Enzyme,JC69,0.9982450968654002
1BZC_A,Enzyme,LG,0.9937179682521857
1BZC_A,Enzyme,WAG,0.9956575965627924
1BZC_A,Enzyme,JTT,0.994534167362559
1BZC_A,Enzyme,mtVer,0.99367894779321
1BZC_A,Enzyme,gcpREV,0.9917021018867516
1BZC_A,Enzyme,JC69,0.9916293486957444
1C0K_A,Enzyme,LG,0.9994400735422635
1C0K_A,Enzyme,WAG,0.9995494512777553
1C0K_A,Enzyme,JTT,0.9994981730294553
1C0K_A,Enzyme,mtVer,0.999390962023419
1C0K_A,Enzyme,gcpREV,0.9993882379543154
1C0K_A,Enzyme,JC69,0.9982166848689022
1C2T_A,Enzyme,LG,0.9988123292337475
1C2T_A,Enzyme,WAG,0.99890336530756485
1C2T_A,Enzyme,JTT,0.9989774551454342
1C2T_A,Enzyme,mtVer,0.9989496057737528
1C2T_A,Enzyme,gcpREV,0.9989932189407257
1C2T_A,Enzyme,JC69,0.9983873565417608
1C82_A,Enzyme,LG,0.9984954554863387
1C82_A,Enzyme,WAG,0.9973274748382849
1C82_A,Enzyme,JTT,0.996592326441782
1C82_A,Enzyme,mtVer,0.9995409534942782
1C82_A,Enzyme,gcpREV,0.9993188789457045
1C82_A,Enzyme,JC69,0.9957461122458435
1CBG_A,Enzyme,LG,0.9981461074037434
1CBG_A,Enzyme,WAG,0.999083145899594
1CBG_A,Enzyme,JTT,0.9990724040045761
1CBG_A,Enzyme,mtVer,0.9990546817216975
1CBG_A,Enzyme,gcpREV,0.9990038210837172
1CBG_A,Enzyme,JC69,0.9982056652692938
1CEL_A,Enzyme,LG,0.9994295045638142
1CEL_A,Enzyme,WAG,0.9994508397066129
1CEL_A,Enzyme,JTT,0.9994635789274315
1CEL_A,Enzyme,mtVer,0.9992876644827975
1CEL_A,Enzyme,gcpREV,0.9994583259309936
1CEL_A,Enzyme,JC69,0.9995424570996377
1CF2_O,Enzyme,LG,0.9996901454477246
1CF2_O,Enzyme,WAG,0.999784150030293
1CF2_O,Enzyme,JTT,0.9997483201978272
1CF2_O,Enzyme,mtVer,0.9997513200922047
1CF2_O,Enzyme,gcpREV,0.9997745337907192
1CF2_O,Enzyme,JC69,0.9995923886014774
1CTN_A,Enzyme,LG,0.9960344053791259
1CTN_A,Enzyme,WAG,0.9964240502276334
1CTN_A,Enzyme,JTT,0.9963583418811109
1CTN_A,Enzyme,mtVer,0.9961015405317145
1CTN_A,Enzyme,gcpREV,0.9966765511757899
1CTN_A,Enzyme,JC69,0.9973308262199451
1CTT_A,Enzyme,LG,0.9986910765195565
1CTT_A,Enzyme,WAG,0.9990559240717407
1CTT_A,Enzyme,JTT,0.9986765628835863
1CTT_A,Enzyme,mtVer,0.9964957826293629
1CTT_A,Enzyme,gcpREV,0.9988000292198634
1CTT_A,Enzyme,JC69,0.9990755851040554
1CZ1_A,Enzyme,LG,0.9993201252465993
1CZ1_A,Enzyme,WAG,0.9988927744793721
1CZ1_A,Enzyme,JTT,0.9995281598137399
1CZ1_A,Enzyme,mtVer,0.999291590772893
1CZ1_A,Enzyme,gcpREV,0.9996052847621052
1CZ1_A,Enzyme,JC69,0.9996117436839691
1DBT_A,Enzyme,LG,0.9995297121264621
1DBT_A,Enzyme,WAG,0.999886061786118
1DBT_A,Enzyme,JTT,0.999873185207152
1DBT_A,Enzyme,mtVer,0.9988426686905006
1DBT_A,Enzyme,gcpREV,0.9998361162677041
1DBT_A,Enzyme,JC69,0.9997186352992505
1DEK_A,Enzyme,LG,0.9970705093566652
1DEK_A,Enzyme,WAG,0.9979781411382127
1DEK_A,Enzyme,JTT,0.9980127394633941
1DEK_A,Enzyme,mtVer,0.99821533019209
1DEK_A,Enzyme,gcpREV,0.9980128203754784
1DEK_A,Enzyme,JC69,0.995392350452353
1DJ0_A,Enzyme,LG,0.9993327107397472
1DJ0_A,Enzyme,WAG,0.9995389516852801
1DJ0_A,Enzyme,JTT,0.999361265378565
1DJ0_A,Enzyme,mtVer,0.9960533030661297
1DJ0_A,Enzyme,gcpREV,0.9994583987909748
1DJ0_A,Enzyme,JC69,0.9993045276252276
1DPG_A,Enzyme,LG,0.9995649515853534
1DPG_A,Enzyme,WAG,0.9998043350610705
1DPG_A,Enzyme,JTT,0.9996491343153326
1DPG_A,Enzyme,mtVer,0.9996818153596302
1DPG_A,Enzyme,gcpREV,0.999748961478833
1DPG_A,Enzyme,JC69,0.9993189808904774
1E2A_A,Enzyme,LG,0.9997022515114594
1E2A_A,Enzyme,WAG,0.9994868078967031
1E2A_A,Enzyme,JTT,0.9995545879858176
1E2A_A,Enzyme,mtVer,0.9992762048932446
1E2A_A,Enzyme,gcpREV,0.9996175260227548
1E2A_A,Enzyme,JC69,0.9994851849460977
1E3V_A,Enzyme,LG,0.9974353247825312
1E3V_A,Enzyme,WAG,0.9997557452173839
1E3V_A,Enzyme,JTT,0.9996943987330811
1E3V_A,Enzyme,mtVer,0.9965261542027936
1E3V_A,Enzyme,gcpREV,0.999469650495153
1E3V_A,Enzyme,JC69,0.9997285830160326
1E6E_A,Enzyme,LG,0.9993389567016965
1E6E_A,Enzyme,WAG,0.9994019009608519
1E6E_A,Enzyme,JTT,0.9988197113739447
1E6E_A,Enzyme,mtVer,0.9960139864541887
1E6E_A,Enzyme,gcpREV,0.9976058371281878
1E6E_A,Enzyme,JC69,0.9984769489108464
1E7Q_A,Enzyme,LG,0.9996736558464967
1E7Q_A,Enzyme,WAG,0.9998266951581449
1E7Q_A,Enzyme,JTT,0.9997478841893018
1E7Q_A,Enzyme,mtVer,0.9988210228365366
1E7Q_A,Enzyme,gcpREV,0.9997992544140178
1E7Q_A,Enzyme,JC69,0.9992159189166853
1EG7_A,Enzyme,LG,0.9999744897385261
1EG7_A,Enzyme,WAG,0.9999912982937357
1EG7_A,Enzyme,JTT,0.9999896433679256
1EG7_A,Enzyme,mtVer,0.9999752218727244
1EG7_A,Enzyme,gcpREV,0.9999928998346577
1EG7_A,Enzyme,JC69,0.999985936852834
1EUU_A,Enzyme,LG,0.9910395069363297
1EUU_A,Enzyme,WAG,0.9893630916809147
1EUU_A,Enzyme,JTT,0.9900986360741877
1EUU_A,Enzyme,mtVer,0.9942529429209553
1EUU_A,Enzyme,gcpREV,0.9917322361094588
1EUU_A,Enzyme,JC69,0.9976781177326244
1EXP_A,Enzyme,LG,0.9998789690791734
1EXP_A,Enzyme,WAG,0.9998620323819513
1EXP_A,Enzyme,JTT,0.9998176210771162
1EXP_A,Enzyme,mtVer,0.9995664010790017
1EXP_A,Enzyme,gcpREV,0.9997749700039401
1EXP_A,Enzyme,JC69,0.9989553444789239
1FF3_A,Enzyme,LG,0.9996857977649283
1FF3_A,Enzyme,WAG,0.9997141706619944
1FF3_A,Enzyme,JTT,0.9995876494061806
1FF3_A,Enzyme,mtVer,0.9994580788758742
1FF3_A,Enzyme,gcpREV,0.999693573556533
1FF3_A,Enzyme,JC69,0.9995646096024847
1FPS_A,Enzyme,LG,0.9998146190161611
1FPS_A,Enzyme,WAG,0.9996169307859921
1FPS_A,Enzyme,JTT,0.9998146977700031
1FPS_A,Enzyme,mtVer,0.9989548682729757
1FPS_A,Enzyme,gcpREV,0.9998268249275837
1FPS_A,Enzyme,JC69,0.9994687995756295
1FR8_A,Enzyme,LG,0.9945000638446626
1FR8_A,Enzyme,WAG,0.9941628824136007
1FR8_A,Enzyme,JTT,0.9965992591816951
1FR8_A,Enzyme,mtVer,0.9979593797466375
1FR8_A,Enzyme,gcpREV,0.9982177397451953
1FR8_A,Enzyme,JC69,0.995043469784539
1G6T_A,Enzyme,LG,0.9985724351480307
1G6T_A,Enzyme,WAG,0.9987499468468654
1G6T_A,Enzyme,JTT,0.9993211041894671
1G6T_A,Enzyme,mtVer,0.998895042818073
1G6T_A,Enzyme,gcpREV,0.9988521989909586
1G6T_A,Enzyme,JC69,0.9989073170850133
1G72_A,Enzyme,LG,0.9988730580879219
1G72_A,Enzyme,WAG,0.9995220713329489
1G72_A,Enzyme,JTT,0.999545267827699
1G72_A,Enzyme,mtVer,0.9997478602650991
1G72_A,Enzyme,gcpREV,0.9996011496371112
1G72_A,Enzyme,JC69,0.9989778507312885
1G79_A,Enzyme,LG,0.9996985874963058
1G79_A,Enzyme,WAG,0.999759871372661
1G79_A,Enzyme,JTT,0.9995486695207663
1G79_A,Enzyme,mtVer,0.9992677467572146
1G79_A,Enzyme,gcpREV,0.9996036482167249
1G79_A,Enzyme,JC69,0.9987735456056569
1G8F_A,Enzyme,LG,0.9987298410452258
1G8F_A,Enzyme,WAG,0.9995889703379497
1G8F_A,Enzyme,JTT,0.9997715624897384
1G8F_A,Enzyme,mtVer,0.9997447639665472
1G8F_A,Enzyme,gcpREV,0.9996568981632912
1G8F_A,Enzyme,JC69,0.9980776983364689
1GA8_A,Enzyme,LG,0.9983316816094422
1GA8_A,Enzyme,WAG,0.9990427170332027
1GA8_A,Enzyme,JTT,0.9953386677713036
1GA8_A,Enzyme,mtVer,0.9988360692188911
1GA8_A,Enzyme,gcpREV,0.9887536432715812
1GA8_A,Enzyme,JC69,0.9982893292508891
1GCB_A,Enzyme,LG,0.9984368297473999
1GCB_A,Enzyme,WAG,0.9983575060783861
1GCB_A,Enzyme,JTT,0.99915376767757
1GCB_A,Enzyme,mtVer,0.9994201663567615
1GCB_A,Enzyme,gcpREV,0.9995112528418633
1GCB_A,Enzyme,JC69,0.9985674815028356
1GDH_A,Enzyme,LG,0.9998909129746357
1GDH_A,Enzyme,WAG,0.999934033755874
1GDH_A,Enzyme,JTT,0.9998980997774055
1GDH_A,Enzyme,mtVer,0.9997321369927995
1GDH_A,Enzyme,gcpREV,0.9999024784328411
1GDH_A,Enzyme,JC69,0.9995691082979741
1GP1_A,Enzyme,LG,0.9987561450483043
1GP1_A,Enzyme,WAG,0.9990763687390524
1GP1_A,Enzyme,JTT,0.9978149421669621
1GP1_A,Enzyme,mtVer,0.9989413030133285
1GP1_A,Enzyme,gcpREV,0.9990763102615853
1GP1_A,Enzyme,JC69,0.9963593599189003
1GPJ_A,Enzyme,LG,0.9993204340692459
1GPJ_A,Enzyme,WAG,0.9956479089621468
1GPJ_A,Enzyme,JTT,0.9995667734038519
1GPJ_A,Enzyme,mtVer,0.9993710168612325
1GPJ_A,Enzyme,gcpREV,0.9995019829409191
1GPJ_A,Enzyme,JC69,0.996418032030932
1GTP_A,Enzyme,LG,0.9981333375743787
1GTP_A,Enzyme,WAG,0.9992713126623779
1GTP_A,Enzyme,JTT,0.9993173868796394
1GTP_A,Enzyme,mtVer,0.9970970229848732
1GTP_A,Enzyme,gcpREV,0.9994358056906387
1GTP_A,Enzyme,JC69,0.9991188528448386
1H3I_A,Enzyme,LG,0.990387220820394
1H3I_A,Enzyme,WAG,0.9891288020000958
1H3I_A,Enzyme,JTT,0.9919234161583167
1H3I_A,Enzyme,mtVer,0.999223661314538
1H3I_A,Enzyme,gcpREV,0.9911728404069652
1H3I_A,Enzyme,JC69,0.9981882401502981
1HR6_B,Enzyme,LG,0.9991299032176911
1HR6_B,Enzyme,WAG,0.9997267422151243
1HR6_B,Enzyme,JTT,0.9997059418266601
1HR6_B,Enzyme,mtVer,0.9996803555263959
1HR6_B,Enzyme,gcpREV,0.9997336884306814
1HR6_B,Enzyme,JC69,0.9995668335017975
1HV9_A,Enzyme,LG,0.998215557736032
1HV9_A,Enzyme,WAG,0.9979982032725192
1HV9_A,Enzyme,JTT,0.9999137957928016
1HV9_A,Enzyme,mtVer,0.9997295611774311
1HV9_A,Enzyme,gcpREV,0.9998927853779793
1HV9_A,Enzyme,JC69,0.9990200829178263
1IVH_A,Enzyme,LG,0.9990781740937672
1IVH_A,Enzyme,WAG,0.9998036424972598
1IVH_A,Enzyme,JTT,0.9996270988966466
1IVH_A,Enzyme,mtVer,0.999652057446626
1IVH_A,Enzyme,gcpREV,0.999765264364114
1IVH_A,Enzyme,JC69,0.9991078816324327
1J79_A,Enzyme,LG,0.9998337114498772
1J79_A,Enzyme,WAG,0.9998555011236725
1J79_A,Enzyme,JTT,0.9998043792024275
1J79_A,Enzyme,mtVer,0.999598647371918
1J79_A,Enzyme,gcpREV,0.9997748299708735
1J79_A,Enzyme,JC69,0.9997882504700355
1JOF_A,Enzyme,LG,0.9996659635910526
1JOF_A,Enzyme,WAG,0.9996429635884241
1JOF_A,Enzyme,JTT,0.9988515868895941
1JOF_A,Enzyme,mtVer,0.9997075127118912
1JOF_A,Enzyme,gcpREV,0.998908651964658
1JOF_A,Enzyme,JC69,0.9960360934471678
1K30_A,Enzyme,LG,0.9962829218761873
1K30_A,Enzyme,WAG,0.9960433237697858
1K30_A,Enzyme,JTT,0.9947977665523056
1K30_A,Enzyme,mtVer,0.9968607626462941
1K30_A,Enzyme,gcpREV,0.9957642829547362
1K30_A,Enzyme,JC69,0.9957298762447403
1L1D_A,Enzyme,LG,0.9998745772138155
1L1D_A,Enzyme,WAG,0.9999059331432194
1L1D_A,Enzyme,JTT,0.999884479394012
1L1D_A,Enzyme,mtVer,0.9994640657981378
1L1D_A,Enzyme,gcpREV,0.9998514657782127
1L1D_A,Enzyme,JC69,0.9995980396600094
1L7N_A,Enzyme,LG,0.9991634490285444
1L7N_A,Enzyme,WAG,0.9988683095880612
1L7N_A,Enzyme,JTT,0.9993876259806056
1L7N_A,Enzyme,mtVer,0.9993277918089949
1L7N_A,Enzyme,gcpREV,0.99980243398111
1L7N_A,Enzyme,JC69,0.9993710131926046
1LJL_A,Enzyme,LG,0.9999063185170421
1LJL_A,Enzyme,WAG,0.9999277457008688
1LJL_A,Enzyme,JTT,0.9997747660207633
1LJL_A,Enzyme,mtVer,0.9981956357407877
1LJL_A,Enzyme,gcpREV,0.9998136326341123
1LJL_A,Enzyme,JC69,0.9997282943546755
1MBB_A,Enzyme,LG,0.9998534903987804
1MBB_A,Enzyme,WAG,0.9998679255412707
1MBB_A,Enzyme,JTT,0.999679685218991
1MBB_A,Enzyme,mtVer,0.9994987645543605
1MBB_A,Enzyme,gcpREV,0.9998385884812121
1MBB_A,Enzyme,JC69,0.9990856434976552
1MHY_D,Enzyme,LG,0.9994299178339359
1MHY_D,Enzyme,WAG,0.999589088584782
1MHY_D,Enzyme,JTT,0.9994727659553324
1MHY_D,Enzyme,mtVer,0.9995423928338891
1MHY_D,Enzyme,gcpREV,0.9994922304504739
1MHY_D,Enzyme,JC69,0.9997782610265605
1MQW_A,Enzyme,LG,0.9996812726214928
1MQW_A,Enzyme,WAG,0.9950265237050167
1MQW_A,Enzyme,JTT,0.9996419950835346
1MQW_A,Enzyme,mtVer,0.9994545194182756
1MQW_A,Enzyme,gcpREV,0.9989327289166713
1MQW_A,Enzyme,JC69,0.9994276638796166
1NBA_A,Enzyme,LG,0.999512222083385
1NBA_A,Enzyme,WAG,0.997431405427778
1NBA_A,Enzyme,JTT,0.9994745302366829
1NBA_A,Enzyme,mtVer,0.9994042141161346
1NBA_A,Enzyme,gcpREV,0.9992005504925814
1NBA_A,Enzyme,JC69,0.9989296144247296
1NIR_A,Enzyme,LG,0.9996785008814929
1NIR_A,Enzyme,WAG,0.9997532408544081
1NIR_A,Enzyme,JTT,0.9989342291187806
1NIR_A,Enzyme,mtVer,0.9997669310183468
1NIR_A,Enzyme,gcpREV,0.9997513589058491
1NIR_A,Enzyme,JC69,0.998182216575399
1NU3_A,Enzyme,LG,0.9989578134068685
1NU3_A,Enzyme,WAG,0.9994163092958234
1NU3_A,Enzyme,JTT,0.9990042118517013
1NU3_A,Enzyme,mtVer,0.9975156087802151
1NU3_A,Enzyme,gcpREV,0.9993619489877668
1NU3_A,Enzyme,JC69,0.9883306965879763
1OAC_A,Enzyme,LG,0.9987117828275899
1OAC_A,Enzyme,WAG,0.9993346929261603
1OAC_A,Enzyme,JTT,0.9987539205497786
1OAC_A,Enzyme,mtVer,0.9992851026789867
1OAC_A,Enzyme,gcpREV,0.9991455275571156
1OAC_A,Enzyme,JC69,0.9990937613809354
1OH9_A,Enzyme,LG,0.9995194368519053
1OH9_A,Enzyme,WAG,0.997367253692614
1OH9_A,Enzyme,JTT,0.9993420775019342
1OH9_A,Enzyme,mtVer,0.9978402576587788
1OH9_A,Enzyme,gcpREV,0.99928576963856
1OH9_A,Enzyme,JC69,0.9995893422260299
1OPM_A,Enzyme,LG,0.9940916836257159
1OPM_A,Enzyme,WAG,0.9962910925507491
1OPM_A,Enzyme,JTT,0.9976029314512345
1OPM_A,Enzyme,mtVer,0.9995288210057004
1OPM_A,Enzyme,gcpREV,0.9969263905396045
1OPM_A,Enzyme,JC69,0.994296423976757
1OS7_A,Enzyme,LG,0.9991182363042586
1OS7_A,Enzyme,WAG,0.9989988225345775
1OS7_A,Enzyme,JTT,0.9991077141607424
1OS7_A,Enzyme,mtVer,0.9990500847202048
1OS7_A,Enzyme,gcpREV,0.9993899792997664
1OS7_A,Enzyme,JC69,0.9988581243652277
1PMA_B,Enzyme,LG,0.9987946417662412
1PMA_B,Enzyme,WAG,0.9992368892009248
1PMA_B,Enzyme,JTT,0.9980461929887411
1PMA_B,Enzyme,mtVer,0.9983757339742542
1PMA_B,Enzyme,gcpREV,0.9992411780969369
1PMA_B,Enzyme,JC69,0.997335643579392
1POW_A,Enzyme,LG,0.9996742408143364
1POW_A,Enzyme,WAG,0.9997017303032365
1POW_A,Enzyme,JTT,0.999720108978121
1POW_A,Enzyme,mtVer,0.999792610260928
1POW_A,Enzyme,gcpREV,0.999717985829101
1POW_A,Enzyme,JC69,0.9994410856704209
1QAZ_A,Enzyme,LG,0.9975229513596188
1QAZ_A,Enzyme,WAG,0.9977200153077196
1QAZ_A,Enzyme,JTT,0.9979268201000071
1QAZ_A,Enzyme,mtVer,0.9986364862076758
1QAZ_A,Enzyme,gcpREV,0.9974830887242958
1QAZ_A,Enzyme,JC69,0.9985186134800714
1QFM_A,Enzyme,LG,0.9996753631494988
1QFM_A,Enzyme,WAG,0.9998156322655881
1QFM_A,Enzyme,JTT,0.9997843305438823
1QFM_A,Enzyme,mtVer,0.9996065439549503
1QFM_A,Enzyme,gcpREV,0.9995181400614997
1QFM_A,Enzyme,JC69,0.9996063157756638
1QI9_A,Enzyme,LG,0.9989910061465926
1QI9_A,Enzyme,WAG,0.9992066663855761
1QI9_A,Enzyme,JTT,0.9990347057534955
1QI9_A,Enzyme,mtVer,0.9993851030497034
1QI9_A,Enzyme,gcpREV,0.9983793921603704
1QI9_A,Enzyme,JC69,0.997150611979061
1QJE_A,Enzyme,LG,0.9940017233590008
1QJE_A,Enzyme,WAG,0.994556603955678
1QJE_A,Enzyme,JTT,0.9945860940556174
1QJE_A,Enzyme,mtVer,0.9872841892390076
1QJE_A,Enzyme,gcpREV,0.9993861031994028
1QJE_A,Enzyme,JC69,0.999449544014234
1QRG_A,Enzyme,LG,0.9962772608611485
1QRG_A,Enzyme,WAG,0.9993191808731883
1QRG_A,Enzyme,JTT,0.9985244584103102
1QRG_A,Enzyme,mtVer,0.997032767385601
1QRG_A,Enzyme,gcpREV,0.9987874070499039
1QRG_A,Enzyme,JC69,0.9968437402350856
1REQ_A,Enzyme,LG,0.99935138312218
1REQ_A,Enzyme,WAG,0.9997876711380284
1REQ_A,Enzyme,JTT,0.9996704462073501
1REQ_A,Enzyme,mtVer,0.9995361446038151
1REQ_A,Enzyme,gcpREV,0.9996450900179843
1REQ_A,Enzyme,JC69,0.998387870340019
1S3I_A,Enzyme,LG,0.9989931367693498
1S3I_A,Enzyme,WAG,0.9999063530809645
1S3I_A,Enzyme,JTT,0.9990158405579874
1S3I_A,Enzyme,mtVer,0.9991139875180743
1S3I_A,Enzyme,gcpREV,0.9998580875857335
1S3I_A,Enzyme,JC69,0.9998880203722945
1S95_A,Enzyme,LG,0.998658769379629
1S95_A,Enzyme,WAG,0.9981463074285287
1S95_A,Enzyme,JTT,0.9988225942221454
1S95_A,Enzyme,mtVer,0.9990280831649315
1S95_A,Enzyme,gcpREV,0.9989472438920886
1S95_A,Enzyme,JC69,0.9971506899200806
1SML_A,Enzyme,LG,0.9992760448518803
1SML_A,Enzyme,WAG,0.999199400458435
1SML_A,Enzyme,JTT,0.9991678459157135
1SML_A,Enzyme,mtVer,0.9984678197164718
1SML_A,Enzyme,gcpREV,0.9991959145676254
1SML_A,Enzyme,JC69,0.9995942028590741
1SMN_A,Enzyme,LG,0.9986068685439885
1SMN_A,Enzyme,WAG,0.998516174019339
1SMN_A,Enzyme,JTT,0.9983937241400669
1SMN_A,Enzyme,mtVer,0.9992167465178095
1SMN_A,Enzyme,gcpREV,0.9986425740043049
1SMN_A,Enzyme,JC69,0.9994106248021483
1STC_E,Enzyme,LG,0.9988235113736486
1STC_E,Enzyme,WAG,0.9990647312835437
1STC_E,Enzyme,JTT,0.9988515011079929
1STC_E,Enzyme,mtVer,0.9990239757643704
1STC_E,Enzyme,gcpREV,0.9981245623484604
1STC_E,Enzyme,JC69,0.9972318651689397
1TAH_B,Enzyme,LG,0.9985450926591866
1TAH_B,Enzyme,WAG,0.9984577949678157
1TAH_B,Enzyme,JTT,0.9987060373216192
1TAH_B,Enzyme,mtVer,0.99825938146433435
1TAH_B,Enzyme,gcpREV,0.9989021548403305
1TAH_B,Enzyme,JC69,0.9990764123501928
1TLP_E,Enzyme,LG,0.9988135999793588
1TLP_E,Enzyme,WAG,0.9989978759013038
1TLP_E,Enzyme,JTT,0.9980377577089043
1TLP_E,Enzyme,mtVer,0.997746016859906
1TLP_E,Enzyme,gcpREV,0.9989594077004955
1TLP_E,Enzyme,JC69,0.9986698918788686
1TRK_B,Enzyme,LG,0.9997070837428621
1TRK_B,Enzyme,WAG,0.9997303428641331
1TRK_B,Enzyme,JTT,0.9996507717674705
1TRK_B,Enzyme,mtVer,0.9992901062570693
1TRK_B,Enzyme,gcpREV,0.9997422719207721
1TRK_B,Enzyme,JC69,0.9991464298636411
1TYF_A,Enzyme,LG,0.9998291880491048
1TYF_A,Enzyme,WAG,0.99990939539996
1TYF_A,Enzyme,JTT,0.9998744903491249
1TYF_A,Enzyme,mtVer,0.9996925384883886
1TYF_A,Enzyme,gcpREV,0.9996990367132679
1TYF_A,Enzyme,JC69,0.9997337559571401
1UAQ_A,Enzyme,LG,0.9998084073661551
1UAQ_A,Enzyme,WAG,0.9975953394178317
1UAQ_A,Enzyme,JTT,0.9996713047846599
1UAQ_A,Enzyme,mtVer,0.9993394453098485
1UAQ_A,Enzyme,gcpREV,0.9997093572311978
1UAQ_A,Enzyme,JC69,0.9966160479361847
1UQT_A,Enzyme,LG,0.9987440954158318
1UQT_A,Enzyme,WAG,0.9985118407134453
1UQT_A,Enzyme,JTT,0.9988270503846766
1UQT_A,Enzyme,mtVer,0.9988154068545382
1UQT_A,Enzyme,gcpREV,0.9972584625153862
1UQT_A,Enzyme,JC69,0.9991367687296351
1W0H_A,Enzyme,LG,0.9951096563506773
1W0H_A,Enzyme,WAG,0.9960039166027356
1W0H_A,Enzyme,JTT,0.9960423979520294
1W0H_A,Enzyme,mtVer,0.9963429193146789
1W0H_A,Enzyme,gcpREV,0.9970765677237005
1W0H_A,Enzyme,JC69,0.9982581363887817
1WGI_A,Enzyme,LG,0.9996250846898763
1WGI_A,Enzyme,WAG,0.9997991942096698
1WGI_A,Enzyme,JTT,0.9997843057872661
1WGI_A,Enzyme,mtVer,0.9996178299811469
1WGI_A,Enzyme,gcpREV,0.9997856996546154
1WGI_A,Enzyme,JC69,0.9995736606802206
