dataset,sequences,sites,model,type,logl,AICc,GammaShape
ND4,349,475,gcpREV-G,mito,-72710.1396261,146818.156619,0.581637631633
ndhG,314,219,WAG-No,chloro,-10039.9012012,21229.347677,NA
atpI,340,257,mtVer-No,chloro,-7305.67715146,15795.3351304,NA
petN,332,37,JTT-No,chloro,-400.116235067,1593.08161712,NA
ND5,350,662,WAG-No,mito,-130102.30736,261602.826857,NA
psbL,324,68,JC69-No,chloro,-581.134460634,1888.06240655,NA
rps12,604,265,mtVer-G,chloro,-4857.25852379,11464.037429,0.495225802719
ND2,352,356,mtVer-No,mito,-78694.3219071,158798.542089,NA
ndhJ,316,177,JC69-No,chloro,-6066.65476075,13203.4692659,NA
rps4,342,253,LG-No,chloro,-11936.4395456,25111.6985535,NA
ndhJ,316,177,WAG-G,chloro,-4755.76598315,10583.7302335,0.509178606141
ndhE,322,107,LG-No,chloro,-3482.25401139,8022.53784714,NA
psbF,341,50,JC69-No,chloro,-401.314063475,1571.63190551,NA
atpE,340,154,WAG-G,chloro,-6681.77307194,14583.6203382,0.588878996789
petB,335,274,WAG-G,chloro,-3197.71642308,7471.71772134,0.272254016935
CYTB,348,394,gcpREV-No,mito,-47957.02622,97307.103445,NA
atpH,342,92,JTT-No,chloro,-761.814709714,2299.09351209,NA
ndhE,322,107,JTT-No,chloro,-3328.42251822,7714.8748608,NA
ndhA,315,411,mtVer-G,chloro,-16341.2140448,33888.0246875,0.581744769598
rps4,342,253,WAG-No,chloro,-11732.2080611,24703.2355844,NA
psaB,339,735,JC69-G,chloro,-11627.4657284,24463.8620211,0.207152655849
rpoB,334,1239,gcpREV-No,chloro,-50939.7915163,103171.599926,NA
petB,335,274,LG-No,chloro,-3571.69074435,8217.64284424,NA
atpE,340,154,LG-No,chloro,-7189.37549422,15596.7783084,NA
psaA,339,776,mtVer-G,chloro,-10846.8643384,22916.5688806,0.280889697452
ndhB,604,807,mtVer-No,chloro,-12982.9760804,27897.7767477,NA
ndhE,322,107,WAG-G,chloro,-3280.75352083,7621.59887509,0.926904036357
rpl36,343,58,JC69-No,chloro,-1334.7264308,3556.85673641,NA
ndhJ,316,177,LG-No,chloro,-5185.9057793,11441.971303,NA
rps4,342,253,WAG-G,chloro,-10951.4602507,23143.7687478,0.657249109167
petG,341,38,gcpREV-No,chloro,-481.048879738,1787.64526286,NA
rpoC1,336,898,JTT-G,chloro,-35004.8939069,71306.5728278,0.687112525433
ndhD,309,532,gcpREV-G,chloro,-23193.9855275,47590.3596549,0.675153815896
rps14,338,121,LG-G,chloro,-5052.61706209,11286.0668663,0.942741773828
rpl22,316,352,JC69-G,chloro,-18064.5646052,37305.3257289,0.402369461478
ycf1,352,7031,gcpREV-G,chloro,-305762.601927,612929.602775,1.423693914
psbE,340,85,gcpREV-G,chloro,-844.558747792,2547.71420861,0.391710367732
matK,341,773,mtVer-No,chloro,-69102.2318193,139545.87323,NA
psaJ,339,68,JC69-No,chloro,-1708.02197894,4421.54810256,NA
psbT,341,43,JTT-No,chloro,-641.478808549,2185.99389381,NA
psbK,341,82,gcpREV-No,chloro,-3545.32362462,8281.51919022,NA
ND4L,353,99,mtVer-G,mito,-13675.0927455,28747.6166811,0.759288072068
atpE,340,154,JC69-G,chloro,-7690.9852246,16602.0446435,0.450960533419
psbC,337,489,mtVer-No,chloro,-5742.51322052,12643.0882624,NA
ndhH,328,578,JC69-G,chloro,-14273.8902696,29757.6350424,0.312624666083
rps14,338,121,JC69-No,chloro,-6032.17108415,13243.1167491,NA
psbJ,342,41,mtVer-G,chloro,-741.700656193,2428.2633,0.493165018196
psaJ,339,68,JC69-G,chloro,-1561.95337449,4131.49926605,0.281015961257
rps15,401,143,LG-G,chloro,-7510.05864756,16388.2699087,1.22695672933
psbL,324,68,mtVer-No,chloro,-528.785466819,1783.36441892,NA
rps14,338,121,WAG-No,chloro,-5191.54817942,11561.8709397,NA
rpoB,334,1239,JC69-No,chloro,-63048.4429339,127388.902761,NA
rpl16,343,199,gcpREV-No,chloro,-6104.44121915,13423.6136885,NA
psbJ,342,41,gcpREV-G,chloro,-736.400780849,2417.66354931,0.479375857979
psbK,341,82,JC69-No,chloro,-4578.36168669,10347.5953143,NA
rps15,401,143,mtVer-G,chloro,-7670.86978285,16709.8921793,0.965864867947
psaB,339,735,mtVer-No,chloro,-11162.7715399,23532.4639284,NA
petD,341,211,WAG-No,chloro,-2988.04792856,7033.82844375,NA
petG,341,38,LG-No,chloro,-536.326063331,1898.19963005,NA
psaJ,339,68,WAG-G,chloro,-1347.40648555,3702.40548817,0.385061563815
ndhK,301,390,gcpREV-G,chloro,-11044.0074204,23201.2781609,0.483883539398
ndhG,314,219,JC69-No,chloro,-12426.7882107,26003.1216961,NA
psbA,344,362,JC69-No,chloro,-3209.62821588,7423.29587479,NA
psbE,340,85,JTT-No,chloro,-897.208960948,2650.9547762,NA
ycf2,537,5835,gcpREV-No,chloro,-181749.489271,365561.657897,NA
ndhF,315,891,mtVer-G,chloro,-60968.5095259,123187.804368,0.585975766972
psbB,327,518,WAG-G,chloro,-8033.83031784,17233.6669625,0.295349863971
atpB,336,547,WAG-No,chloro,-14388.4286477,30031.1293764,NA
rps4,342,253,JTT-No,chloro,-11471.651584,24182.1226303,NA
ND6,362,401,mtVer-No,mito,-63968.7396944,129386.687392,NA
ATP8,353,80,gcpREV-G,mito,-15750.1627182,32938.0652868,0.852633273566
CYTB,348,394,WAG-G,mito,-43284.5654639,87964.2023338,0.562052541708
ndhE,322,107,WAG-No,chloro,-3392.50058654,7843.03099743,NA
atpH,342,92,WAG-No,chloro,-784.844546493,2345.15318565,NA
rps14,338,121,mtVer-No,chloro,-5468.12542986,12115.0254405,NA
psbE,340,85,JTT-G,chloro,-860.232545429,2579.06180388,0.38748821379
rps12,604,265,gcpREV-G,chloro,-4588.72761106,10926.9756036,0.570767535058
rps14,338,121,JTT-G,chloro,-4898.81855015,10978.4698425,0.876361146277
rps15,401,143,gcpREV-No,chloro,-7398.26095871,16162.6265286,NA
ndhJ,316,177,LG-G,chloro,-4900.48790141,10873.17407,0.511482576317
petN,332,37,WAG-No,chloro,-409.066561163,1610.98226931,NA
ATP8,353,80,JC69-G,mito,-17761.7151068,36961.170064,0.678701614686
ND5,350,662,JTT-No,mito,-128657.020829,258712.253795,NA
ndhG,314,219,JTT-G,chloro,-9447.5179848,20046.6148768,0.762865910708
ND5,350,662,LG-No,mito,-132162.995398,265724.202934,NA
psaB,339,735,mtVer-G,chloro,-10404.5867344,22018.104033,0.203129791178
CYTB,348,394,WAG-No,mito,-48681.3155309,98755.6820667,NA
atpH,342,92,JTT-G,chloro,-753.948718676,2285.41125697,0.811208240564
ndhG,314,219,JTT-No,chloro,-9861.31671561,20872.1787058,NA
ndhE,322,107,mtVer-G,chloro,-3197.00645255,7454.10473853,0.934507711594
psbC,337,489,mtVer-G,chloro,-5276.19050062,11712.4569266,0.22201648091
rps12,604,265,LG-G,chloro,-4689.29608206,11128.1125456,0.493639629581
rps11,351,181,JTT-G,chloro,-6970.13569821,15139.5028061,0.906559980137
ndhB,604,807,JC69-G,chloro,-14467.1915568,30868.2156431,0.543510495324
rpoB,334,1239,LG-No,chloro,-53825.1927217,108942.402337,NA
rps11,351,181,gcpREV-No,chloro,-7311.33009347,15819.8536661,NA
ndhD,309,532,gcpREV-No,chloro,-24603.8812449,50408.1364342,NA
rpl20,343,193,mtVer-No,chloro,-12823.2433792,26908.4200236,NA
psbB,327,518,JC69-No,chloro,-10561.3266355,22286.6458067,NA
ATP8,353,80,JTT-G,mito,-15712.117475,32861.9748005,1.26280642568
rpoC1,336,898,JTT-No,chloro,-37001.6665388,75298.1094867,NA
ndhD,309,532,JC69-No,chloro,-31815.7686094,64831.9111633,NA
atpB,336,547,mtVer-No,chloro,-14770.4697978,30795.2116767,NA
rps3,347,313,JTT-G,chloro,-16171.462746,33650.7645065,1.00429432072
rbcL,337,509,JTT-No,chloro,-13900.2957814,29131.7444226,NA
COX3,350,264,mtVer-No,mito,-21850.7228468,45099.9648583,NA
ndhB,604,807,JTT-G,chloro,-12565.7138422,27065.2602141,1.0430828888
psbJ,342,41,JC69-G,chloro,-895.862691333,2736.58737028,0.287140125118
ycf2,537,5835,LG-No,chloro,-188246.485206,378555.649767,NA
rpl22,316,352,LG-No,chloro,-17536.4141559,36247.0036261,NA
ndhK,301,390,LG-G,chloro,-11637.4960349,24388.2553899,0.464909169589
ycf2,537,5835,JC69-G,chloro,-200087.64903,402239.978732,0.703533212539
ndhH,328,578,gcpREV-No,chloro,-13430.2785277,28068.3987749,NA
matK,341,773,JTT-G,chloro,-65943.2413886,133229.902575,1.37055653021
atpB,336,547,JTT-G,chloro,-12687.0877965,26630.4613681,0.308809336249
atpB,336,547,JTT-No,chloro,-14169.0877206,29592.4475222,NA
psbN,339,45,gcpREV-G,chloro,-598.109800311,2015.7073152,1.5829590773
rps2,340,278,gcpREV-No,chloro,-12941.1135669,27118.2695171,NA
psbE,340,85,WAG-No,chloro,-912.910723027,2682.35830036,NA
atpI,340,257,LG-G,chloro,-6972.31387968,15130.6358248,0.414589776604
ndhH,328,578,LG-G,chloro,-13370.2502867,27950.3550765,0.299188513411
rpl22,316,352,WAG-G,chloro,-16416.8105204,34009.8175594,0.90670569263
ccsA,329,484,JTT-G,chloro,-28886.4830188,59078.3026079,0.804224371558
ycf2,537,5835,WAG-G,chloro,-183214.980971,368494.642614,2.09937302546
rpoB,334,1239,WAG-G,chloro,-50041.7521843,101377.527521,0.6944769022
petD,341,211,JTT-No,chloro,-2939.8965218,6937.52563023,NA
ndhI,316,213,mtVer-No,chloro,-7660.44433506,16458.4375367,NA
rps11,351,181,LG-G,chloro,-7305.05212054,15809.3356508,0.766780153457
ND4,349,475,gcpREV-No,mito,-80305.8108378,162007.482142,NA
COX1,344,537,mtVer-G,mito,-21554.4703071,44480.0173568,0.328861460245
rps14,338,121,JTT-No,chloro,-5099.38322129,11377.5410234,NA
ccsA,329,484,JC69-No,chloro,-37284.1959754,75871.7120925,NA
petD,341,211,gcpREV-G,chloro,-2686.27846971,6432.3190922,0.244019700467
ndhB,604,807,mtVer-G,chloro,-12629.7914374,27193.4154045,0.941576863257
rps11,351,181,JC69-G,chloro,-8171.78698763,17542.8053849,0.46514685748
psbD,340,359,mtVer-G,chloro,-2495.91586637,5963.69338193,0.133494665422
psbB,327,518,JC69-G,chloro,-9115.91726928,19397.8408654,0.241451335148
ndhI,316,213,LG-G,chloro,-7119.25774652,15378.0983644,0.405962668665
rpoC2,334,2291,mtVer-No,chloro,-127715.727948,256756.604066,NA
ndhH,328,578,JTT-G,chloro,-12697.6063011,26605.0671054,0.328554468875
petA,340,351,JC69-G,chloro,-13770.4329502,28807.5634548,0.409001077936
rpl20,343,193,JC69-G,chloro,-13225.9622235,27715.8960813,0.484054717805
atpH,342,92,LG-G,chloro,-824.783941656,2427.08170293,0.858774001961
psbT,341,43,WAG-No,chloro,-656.497211668,2216.03070005,NA
psaB,339,735,JTT-G,chloro,-10041.3784682,21291.6875006,0.238413001297
psbE,340,85,JC69-No,chloro,-1117.16923969,3090.87533369,NA
petB,335,274,mtVer-No,chloro,-3472.67599511,8019.61334576,NA
ndhF,315,891,mtVer-No,chloro,-66505.4847051,134259.745804,NA
ND5,350,662,WAG-G,mito,-117888.842226,237177.908693,0.64083397435
ndhC,314,142,JC69-No,chloro,-4755.04239788,10570.5714626,NA
ND4L,353,99,gcpREV-No,mito,-15385.2244617,32165.7993408,NA
ycf3,335,197,mtVer-No,chloro,-3747.40516722,8559.34337448,NA
rps11,351,181,mtVer-G,chloro,-7395.31595063,15989.863311,0.660602911128
ndhI,316,213,JC69-No,chloro,-9042.69051713,19222.9299008,NA
CYTB,348,394,LG-No,mito,-50015.9878031,101425.026611,NA
rpl36,343,58,JC69-G,chloro,-1271.96634002,3433.42697545,0.523262005699
psbN,339,45,mtVer-G,chloro,-619.379460038,2058.24663465,1.08312900558
ndhJ,316,177,JC69-G,chloro,-5338.01372964,11748.2257264,0.450505858081
psbJ,342,41,JTT-G,chloro,-750.470427304,2445.80284222,0.456725399139
ndhH,328,578,mtVer-G,chloro,-12861.0635801,26931.9816634,0.386587690168
psbA,344,362,gcpREV-G,chloro,-2537.77112217,6081.59787783,0.161196474242
psbK,341,82,mtVer-No,chloro,-3569.29424785,8329.46043668,NA
ndhH,328,578,JC69-No,chloro,-16374.4811908,33956.8041011,NA
petG,341,38,JC69-G,chloro,-561.734551942,1951.14638964,0.46425520353
psbN,339,45,JC69-No,chloro,-725.87341532,2269.12566747,NA
psbD,340,359,JC69-G,chloro,-2681.9241821,6335.71001338,0.0906766971871
psbF,341,50,WAG-G,chloro,-339.441706619,1449.97866276,0.610998640131
rps11,351,181,JC69-No,chloro,-8954.86816149,19106.9298022,NA
ndhI,316,213,mtVer-G,chloro,-6901.19169097,14941.9662533,0.392788867644
COX1,344,537,gcpREV-No,mito,-25722.4540117,52813.9698941,NA
ndhD,309,532,LG-G,chloro,-24629.2386893,50460.8659785,0.643309064481
ndhE,322,107,gcpREV-No,chloro,-3233.68480931,7525.39944298,NA
atpA,340,523,JC69-G,chloro,-17211.1973272,35682.8532556,0.326641294292
ndhC,314,142,mtVer-G,chloro,-3625.50286564,8313.5403416,0.495758490799
ND4L,353,99,LG-No,mito,-15988.1177443,33371.5859061,NA
psbE,340,85,mtVer-G,chloro,-890.500490519,2639.59769406,0.353596713883
atpF,338,257,gcpREV-No,chloro,-12585.385057,26442.0191806,NA
psbD,340,359,JC69-No,chloro,-3033.23766677,7036.32102677,NA
ndhK,301,390,LG-No,chloro,-12724.7050589,26560.6544261,NA
ndhB,604,807,JC69-No,chloro,-15389.6765005,32711.1775878,NA
psaA,339,776,LG-No,chloro,-12049.9631687,25320.7572335,NA
atpE,340,154,LG-G,chloro,-6859.11793469,14938.3100637,0.569803639637
psaA,339,776,LG-G,chloro,-11104.2934353,23431.4270743,0.262003833536
rpl36,343,58,gcpREV-G,chloro,-1117.16888464,3123.83206468,0.71989038666
ndhD,309,532,WAG-G,chloro,-24183.5928761,49569.5743521,0.661609066248
petN,332,37,mtVer-No,chloro,-398.211126919,1589.27140083,NA
ndhJ,316,177,mtVer-No,chloro,-5083.58973013,11237.3392047,NA
psbC,337,489,WAG-G,chloro,-5426.69482141,12013.4655681,0.184980911055
ATP6,352,243,JC69-G,mito,-38292.5702197,78000.7752041,0.417396626655
matK,341,773,LG-G,chloro,-68501.0068313,138345.43346,1.20741144221
ndhE,322,107,mtVer-No,chloro,-3305.61346133,7669.25674701,NA
petA,340,351,mtVer-No,chloro,-12857.7948475,26980.2659649,NA
ccsA,329,484,mtVer-G,chloro,-29384.4968341,60074.3302385,0.652653909246
rps12,604,265,WAG-G,chloro,-4611.56718266,10972.6547468,0.561299437565
rpoC1,336,898,mtVer-No,chloro,-38491.2152117,78277.2068323,NA
psbL,324,68,LG-No,chloro,-530.330866971,1786.45521922,NA
rpoB,334,1239,JTT-No,chloro,-51659.0808132,104610.17852,NA
rpl16,343,199,JTT-G,chloro,-5863.98470708,12944.7364755,0.524729559652
ndhI,316,213,JTT-No,chloro,-7384.40232563,15906.3535178,NA
COX1,344,537,JC69-No,mito,-31439.2898591,64247.6415889,NA
ndhC,314,142,gcpREV-G,chloro,-3525.98080451,8114.49621935,0.507140247885
rps8,349,199,WAG-No,chloro,-9885.20061212,21041.9539705,NA
petG,341,38,gcpREV-G,chloro,-467.508568762,1762.69442328,0.71847664925
rpoB,334,1239,gcpREV-G,chloro,-48314.1120774,97922.2473071,0.686612705864
psbC,337,489,WAG-No,chloro,-5740.84414444,12639.7501103,NA
psaJ,339,68,mtVer-No,chloro,-1371.56390105,3748.63194678,NA
atpB,336,547,gcpREV-No,chloro,-14104.8079387,29463.8879584,NA
ndhA,315,411,WAG-G,chloro,-16666.2035515,34538.003701,0.584092798719
rpoC1,336,898,LG-G,chloro,-36579.6429128,74456.0708396,0.675111357993
ndhK,301,390,WAG-No,chloro,-12412.3124483,25935.8692048,NA
rps12,604,265,JTT-No,chloro,-4769.32523168,11286.1489243,NA
atpF,338,257,WAG-No,chloro,-12980.1094055,27231.4678775,NA
psbB,327,518,gcpREV-G,chloro,-7850.94643203,16867.8991909,0.285891956104
atpA,340,523,LG-No,chloro,-16912.1317452,35082.7078897,NA
ATP6,352,243,gcpREV-No,mito,-35174.0656225,71761.7327727,NA
psbA,344,362,JTT-No,chloro,-2758.82171622,6521.68287546,NA
rps14,338,121,gcpREV-No,chloro,-5037.12176741,11253.0181156,NA
ndhA,315,411,gcpREV-No,chloro,-17210.9555439,35625.4890182,NA
petB,335,274,JTT-No,chloro,-3386.23243932,7846.72623418,NA
ndhE,322,107,LG-G,chloro,-3361.94137297,7783.97457936,0.894814432955
psbD,340,359,mtVer-No,chloro,-2700.71611924,6371.27793171,NA
COX3,350,264,JTT-G,mito,-19738.7569775,40878.0635494,0.450011870732
ND3,352,132,gcpREV-G,mito,-17720.8091577,36861.0019357,0.600385623439
rps11,351,181,gcpREV-G,chloro,-6945.25322407,15089.7378578,0.742001856396
atpA,340,523,WAG-G,chloro,-15201.8742478,31664.2070967,0.406154387094
ND3,352,132,JTT-G,mito,-17960.0240878,37339.431796,0.612137371318
ND6,362,401,JC69-G,mito,-68880.1011954,139211.430439,0.669892686305
rpoC2,334,2291,LG-G,chloro,-121082.913627,243492.978894,0.867300735875
ndhA,315,411,LG-No,chloro,-18507.4511758,38218.4802819,NA
ycf1,352,7031,JTT-G,chloro,-308943.960477,619292.319875,1.47545300854
ND1,352,347,gcpREV-No,mito,-43189.6613467,87789.4270065,NA
ndhF,315,891,LG-G,chloro,-62423.5810433,126097.947403,0.639041741855
ND5,350,662,mtVer-No,mito,-123331.20321,248060.618556,NA
atpH,342,92,gcpREV-G,chloro,-737.348244293,2252.21030821,0.973767461658
atpI,340,257,JC69-G,chloro,-7747.72432904,16681.4567235,0.270757815676
ndhD,309,532,JC69-G,chloro,-28559.8654526,58322.1195051,0.49636229471
psbL,324,68,WAG-G,chloro,-522.608980514,1773.07806346,0.971259653808
rps7,655,166,JC69-G,chloro,-5370.35372584,12490.693823,0.349942443217
psaA,339,776,WAG-No,chloro,-11583.6895066,24388.2099093,NA
psbL,324,68,JC69-G,chloro,-552.240902044,1832.34190652,0.180866245302
rps12,604,265,LG-No,chloro,-4879.83896817,11507.1763973,NA
ndhD,309,532,mtVer-G,chloro,-23520.6065312,48243.6016622,0.632450463191
ycf4,334,233,JC69-G,chloro,-11507.0632655,24237.6858337,0.56398000778
psbB,327,518,mtVer-G,chloro,-8175.09542801,17516.1971829,0.312354779113
psbC,337,489,LG-No,chloro,-5912.09833479,12982.258491,NA
psbC,337,489,JC69-No,chloro,-6738.90682389,14635.8754692,NA
rpl14,346,143,gcpREV-G,chloro,-4295.71648084,9742.69582257,0.664137031464
ND4L,353,99,gcpREV-G,mito,-14355.051225,30107.53364,0.679835992088
rps7,655,166,gcpREV-No,chloro,-4718.41033446,11184.7747213,NA
ndhE,322,107,JC69-No,chloro,-4264.86578357,9587.76139149,NA
psaB,339,735,JC69-No,chloro,-13349.0607245,27905.0422977,NA
rpl36,343,58,gcpREV-No,chloro,-1154.33915459,3196.082184,NA
ND4L,353,99,WAG-G,mito,-14831.435368,31060.301926,0.716968032947
ccsA,329,484,JC69-G,chloro,-33695.1858563,68695.7082829,0.464668402233
ccsA,329,484,gcpREV-G,chloro,-28497.5714769,58300.4795242,0.831563294569
ycf4,334,233,JTT-G,chloro,-9802.90147292,20829.3622486,0.880614819181
ND1,352,347,WAG-No,mito,-44496.7104375,90403.5251883,NA
ndhG,314,219,LG-G,chloro,-9920.24848114,20992.0758695,0.867151974625
ndhD,309,532,LG-No,chloro,-26165.756729,53531.8874025,NA
COX1,344,537,WAG-No,mito,-26146.1385771,53661.339025,NA
ND6,362,401,JTT-G,mito,-61203.5504848,123858.329017,1.29238962112
atpF,338,257,LG-G,chloro,-12628.4221426,26530.1227749,0.924289288192
rps2,340,278,JTT-No,chloro,-13156.7981788,27549.6387409,NA
psaB,339,735,LG-G,chloro,-10394.7193939,21998.3693521,0.225680121688
psaA,339,776,WAG-G,chloro,-10708.7481627,22640.3365292,0.273480518381
ycf1,352,7031,JTT-No,chloro,-317134.694173,635671.786131,NA
ND5,350,662,gcpREV-No,mito,-127519.680858,256437.573853,NA
ndhC,314,142,WAG-No,chloro,-3873.72869524,8807.9440573,NA
ndhK,301,390,WAG-G,chloro,-11396.7681711,23906.7996622,0.421244713212
COX3,350,264,JTT-No,mito,-22635.3094606,46669.1380859,NA
psbK,341,82,WAG-No,chloro,-3658.61539727,8508.10273552,NA
ndhA,315,411,JTT-No,chloro,-17492.4146358,36188.4072019,NA
ycf3,335,197,WAG-No,chloro,-3696.92581432,8458.38466869,NA
psbF,341,50,LG-No,chloro,-358.787382772,1486.57854411,NA
ndhI,316,213,gcpREV-No,chloro,-7319.14349255,15775.8358517,NA
rps3,347,313,mtVer-No,chloro,-17768.8122065,36843.4392721,NA
ND3,352,132,JTT-No,mito,-20250.6070718,41918.536202,NA
atpA,340,523,mtVer-No,chloro,-17067.0485413,35392.5414819,NA
rps3,347,313,gcpREV-No,chloro,-16656.5626462,34618.9401515,NA
rpoC2,334,2291,JC69-G,chloro,-134057.031427,269441.214495,0.459787866799
rpl14,346,143,JC69-G,chloro,-5048.64534024,11248.5535414,0.462896298127
ATP6,352,243,JTT-G,mito,-32252.7311329,65921.0970306,0.637091389522
ndhF,315,891,JC69-No,chloro,-78419.2979065,158087.372206,NA
ndhG,314,219,gcpREV-G,chloro,-9275.95808502,19703.4950773,0.780320947103
rpl14,346,143,LG-No,chloro,-4941.88723786,11032.99053,NA
petB,335,274,WAG-No,chloro,-3439.3563838,7952.97412315,NA
psaA,339,776,gcpREV-No,chloro,-11370.9269161,23962.6847283,NA
psbF,341,50,gcpREV-No,chloro,-329.009297863,1427.02237429,NA
psbA,344,362,WAG-No,chloro,-2772.15066833,6548.34077969,NA
ndhA,315,411,LG-G,chloro,-17246.0943749,35697.7853479,0.588730901725
psbN,339,45,JTT-G,chloro,-614.7311963,2048.95010717,1.32632803079
ndhA,315,411,mtVer-No,chloro,-17566.0627702,36335.7034709,NA
psbA,344,362,mtVer-G,chloro,-2621.52132542,6249.09828434,0.157482894841
rpl16,343,199,LG-G,chloro,-6038.33744939,13293.4419601,0.54488283504
atpF,338,257,JTT-No,chloro,-12755.9382505,26783.1255675,NA
rpl36,343,58,JTT-G,chloro,-1155.84890674,3201.19210889,0.214227605151
rps12,604,265,WAG-No,chloro,-4782.33104761,11312.1605562,NA
ndhK,301,390,JTT-No,chloro,-12242.6657366,25596.5757815,NA
ndhG,314,219,mtVer-G,chloro,-9427.23353593,20006.0459791,0.733220726066
rps8,349,199,JTT-No,chloro,-9721.86088823,20715.2745228,NA
ycf4,334,233,mtVer-No,chloro,-10607.074405,22435.6765443,NA
ycf3,335,197,WAG-G,chloro,-3577.08870431,8220.74290163,0.678198981956
psbC,337,489,JTT-No,chloro,-5671.66886213,12501.3995457,NA
rps15,401,143,JC69-No,chloro,-9041.72338378,19449.5513787,NA
ndhI,316,213,WAG-No,chloro,-7514.82392347,16167.1967135,NA
psbK,341,82,mtVer-G,chloro,-3334.25182625,7861.46182907,0.416101329375
COX1,344,537,LG-G,mito,-23458.6413293,48288.359401,0.348650116378
psbJ,342,41,JC69-No,chloro,-1012.14983417,2967.02462227,NA
rps14,338,121,mtVer-G,chloro,-5191.71531846,11564.2633791,0.696182922215
rpoB,334,1239,WAG-No,chloro,-52679.8745613,106651.766016,NA
COX1,344,537,WAG-G,mito,-22447.3297872,46265.7363169,0.347997687034
psbF,341,50,gcpREV-G,chloro,-325.062941257,1421.22113203,0.606263624916
rpoB,334,1239,mtVer-G,chloro,-50474.5359809,102243.095114,0.58568628617
ND1,352,347,WAG-G,mito,-39679.6046868,80771.3368758,0.587350930006
ycf2,537,5835,gcpREV-G,chloro,-179088.293743,360241.268159,2.05696598843
petD,341,211,JTT-G,chloro,-2711.6457167,6483.05358617,0.243712365542
psbB,327,518,gcpREV-No,chloro,-8508.88522959,18181.762995,NA
psaA,339,776,mtVer-No,chloro,-11773.6915302,24768.2139565,NA
psbK,341,82,JTT-G,chloro,-3352.1015543,7897.16128518,0.467598603357
ND4L,353,99,JC69-No,mito,-18134.4335984,37664.2176142,NA
psbF,341,50,JC69-G,chloro,-376.648079885,1524.39140929,0.194560784313
atpA,340,523,LG-G,chloro,-15671.4707429,32603.400087,0.37391720524
rps15,401,143,JC69-G,chloro,-8369.6220737,18107.396761,0.604918062376
psaJ,339,68,mtVer-G,chloro,-1301.17466699,3609.94185106,0.451094512703
atpF,338,257,JTT-G,chloro,-12279.3106282,25831.8997461,0.848535487056
petA,340,351,JTT-G,chloro,-11727.3814328,24721.4604201,0.549184669574
rps8,349,199,JTT-G,chloro,-9362.87106183,19999.3317137,0.726038895056
ND4,349,475,WAG-G,mito,-74860.7495003,151119.376368,0.693930695268
ND4L,353,99,JC69-G,mito,-16969.8861149,35337.2034198,0.702649710126
ndhI,316,213,JTT-G,chloro,-6746.46295601,14632.5087834,0.474139113703
rpoC2,334,2291,LG-No,chloro,-127233.984455,255793.117081,NA
psaA,339,776,JC69-No,chloro,-13837.6166971,28896.0642903,NA
ndhH,328,578,gcpREV-G,chloro,-12590.6813993,26391.2173016,0.329418301608
rpl36,343,58,mtVer-G,chloro,-1192.11825651,3273.73080843,0.673317699351
petN,332,37,gcpREV-No,chloro,-390.959361652,1574.76787029,NA
ycf3,335,197,gcpREV-No,chloro,-3563.15190595,8190.83685194,NA
atpI,340,257,JTT-G,chloro,-6656.32255003,14498.6531655,0.367014327728
